"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0.0155432;-0.00427693;0.000299361;107;150.723;39.6036
0.0156644;-0.00430574;0.000284476;108;151.731;39.9113
0.0157553;-0.00434801;0.000302616;109;152.739;40.2171
0.0160177;-0.00440976;0.000302967;110;154.755;40.8345
0.0161385;-0.00445915;0.000262958;111;155.717;41.0988
0.0162402;-0.00450855;0.000296154;112;156.725;41.2843
0.0163905;-0.00453351;0.000342545;113;157.733;41.7774
0.000626778;0.00013319;-0.00160793;114;160.71;-0.007
0.000597967;0.000113612;-0.00156792;115;162.726;0.0581
0.000582519;0.000132085;-0.00160195;116;163.642;0.0601
