"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;8;39.9844;-0.1904
7.94947e-06;6.93492e-06;-3.10375e-06;9;40.9925;-0.2338
-3.65e-06;6.4702e-06;2.20526e-05;10;41.9999;-0.1569
9.2834e-06;6.36461e-06;-6.46813e-06;11;43.0081;-0.2141
1.18584e-05;2.84663e-05;1.14801e-05;12;44.0159;-0.1293
1.60471e-05;2.02911e-05;-2.45079e-05;13;45.0238;-0.1115
-2.15936e-07;3.54538e-05;-7.80327e-06;14;45.9858;-0.1214
0.000204655;-3.39028e-05;-1.41825e-06;15;46.9939;0.3067
0.000383828;-9.35013e-05;3.30651e-05;16;48.0016;0.7268
0.000527474;-0.000108067;-1.49077e-05;17;49.0095;1.1036
0.000670325;-0.000158131;-7.59088e-05;18;50.0171;1.5573
0.000870185;-0.000180544;-3.59539e-06;19;50.9794;1.9222
0.0010517;-0.000146606;-7.12054e-05;20;51.9872;2.3621
0.00118815;-0.000231673;1.10216e-05;21;52.9953;2.7192
0.0013706;-0.000289104;2.80906e-05;22;54.0029;3.2084
0.00150446;-0.00030843;3.1084e-05;23;55.0109;3.5851
0.00165902;-0.000384382;2.4902e-05;24;56.0185;3.9876
0.00183749;-0.000424858;-2.82028e-05;25;56.981;4.317
0.00199819;-0.000435022;-1.11017e-06;26;58.0345;4.7253
0.00214917;-0.000522803;3.63516e-06;27;58.9964;5.2145
0.00230366;-0.000568832;-4.17801e-06;28;60.0044;5.6505
0.00247547;-0.000604873;-3.67797e-05;29;61.0126;6.0371
0.00262473;-0.000657241;-7.26536e-06;30;62.02;6.4356
0.00277289;-0.000684051;-3.20368e-05;31;62.9825;6.7196
0.00290761;-0.000772376;2.98838e-05;32;63.9902;7.1339
0.00306586;-0.000774097;-2.96357e-05;33;64.998;7.4909
0.00327969;-0.000795199;-1.48107e-06;34;66.0058;7.8302
0.00336563;-0.000849209;-4.64006e-05;35;67.014;8.3688
0.00351906;-0.000798618;1.53025e-05;36;68.0217;8.7731
0.00363994;-0.000933252;-1.35524e-05;37;68.9839;9.1085
0.00380411;-0.000968375;1.53674e-06;38;69.9918;9.4162
0.00396507;-0.00100728;-2.33746e-05;39;70.9997;9.9311
0.00411464;-0.00106551;-6.74903e-06;40;72.0073;10.3059
0.00427455;-0.00108454;-2.96057e-05;41;73.0155;10.6984
0.00439108;-0.00114714;-2.13631e-05;42;74.0233;11.0732
0.00456495;-0.00117355;-2.88053e-05;43;75.0309;11.4599
0.00471939;-0.00121272;-1.87631e-05;44;75.9931;11.6966
0.00479536;-0.00125728;-6.90183e-05;45;77.001;12.2292
0.00498039;-0.00135259;4.41717e-05;46;78.009;12.6217
0.00515056;-0.00135507;-6.99117e-05;47;79.0166;12.8644
0.00528654;-0.00136137;-5.68452e-06;48;80.0245;13.3792
0.00542516;-0.00142253;-1.79529e-05;49;80.9865;13.7501
0.00557958;-0.00146076;-3.95568e-05;50;81.9945;13.9079
0.00572269;-0.00151038;-5.80053e-05;51;83.0021;14.4444
