"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;0;0;-0.3778
1.17896e-05;3.3573e-05;-2.85375e-05;1;1.0079;-0.364
5.80144e-05;4.48182e-05;-1.86637e-06;2;2.0157;-0.3917
8.93527e-06;1.97484e-05;9.22193e-06;3;2.9778;-0.3463
-1.65307e-05;1.32265e-05;2.27253e-05;4;3.9857;-0.4686
0.000165392;-1.69962e-05;-7.4817e-06;5;4.9935;0.0206
0.000321325;-6.50533e-05;6.41658e-06;6;6.0014;0.5434
0.000453939;-0.000145819;4.01008e-05;7;7.0093;0.8472
0.000641501;-0.000146834;2.88194e-05;8;8.0171;1.3166
0.000806845;-0.000223224;1.38596e-05;9;8.9795;1.7269
0.000961144;-0.000262403;-6.29769e-07;10;9.9871;2.155
0.00112016;-0.000329596;4.41035e-06;11;10.9949;2.5337
0.00127959;-0.000368182;7.24839e-06;12;12.0029;2.9736
0.00143121;-0.000419462;-1.18011e-05;13;13.0106;3.3721
0.0016171;-0.000472174;9.1782e-06;14;13.9728;3.7528
0.00175311;-0.000486704;1.77251e-05;15;14.9808;4.1829
0.00192896;-0.000568402;-2.76827e-06;16;15.9885;4.5557
0.00208992;-0.000629553;1.61948e-05;17;16.9964;4.9364
0.00223837;-0.000670236;-2.64552e-05;18;18.0043;5.3822
0.00254864;-0.000766401;-1.79152e-05;19;19.9742;6.1811
0.00270509;-0.000816142;-4.42483e-05;20;20.9821;6.5204
0.0028511;-0.000846307;-3.74839e-05;21;21.99;6.8932
0.00298918;-0.000905624;-3.42483e-05;22;22.9979;7.414
0.00313118;-0.000951025;-1.94767e-05;23;24.0057;7.7257
0.00328935;-0.0010034;-4.83231e-05;24;25.0136;8.2169
0.00345741;-0.00102644;-4.68387e-05;25;25.9757;8.5325
0.00360714;-0.00106595;-4.06151e-05;26;26.9836;8.9921
0.0037626;-0.0011359;-2.89938e-05;27;27.9915;9.2998
0.00404699;-0.00133335;-8.85217e-05;28;30.0072;10.0317
0.00417501;-0.00124092;-9.67907e-05;29;31.015;10.5446
0.00433636;-0.00130849;-5.35258e-05;30;31.9771;10.7872
0.00449666;-0.001342;-7.68453e-05;31;32.985;11.1955
0.00464485;-0.00140557;-5.32886e-05;32;33.9929;11.6946
0.00479275;-0.00142435;-7.49864e-05;33;35.0008;12.0319
0.0049233;-0.00148029;-9.47484e-05;34;36.0086;12.4205
0.00504273;-0.00152819;-0.000101606;35;37.0164;12.8111
0.00522421;-0.00154557;-0.000116815;36;37.9785;13.1741
0.00535537;-0.00159558;-7.08778e-05;37;38.9866;13.5824
0.00552336;-0.00164761;-9.79572e-05;38;39.9943;13.973
0.00568166;-0.00167698;-0.000154073;39;41.0021;14.332
0.00578577;-0.00179185;-4.92243e-05;40;42.01;14.7009
0.00592457;-0.0018127;-9.26216e-05;41;43.018;15.0027
0.00608013;-0.00180836;-0.000129766;42;43.98;15.4919
0.00621503;-0.00187439;-0.000115528;43;44.9879;15.7464
