"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;0;0;-0.2989
3.15147e-06;-1.19222e-05;-7.83023e-06;1;0.9622;-0.4035
-1.52914e-05;-1.34926e-05;-3.21178e-05;2;1.97;-0.2319
7.58358e-06;1.61996e-05;-2.14391e-05;3;2.978;-0.4035
0.000101314;-2.79634e-05;-9.27038e-06;4;3.9859;-0.082
0.000268887;-8.02535e-05;-4.45128e-05;5;4.9937;0.2258
0.000419935;-0.000137444;-3.80134e-05;6;6.0016;0.7426
0.000556887;-0.000205144;-3.71262e-05;7;6.9637;1.1371
0.000731058;-0.000242975;-4.34372e-05;8;7.9714;1.4764
0.000895631;-0.000302113;-2.31756e-05;9;8.9793;1.9104
0.00102432;-0.000337401;-1.14132e-05;10;9.9875;2.3582
0.00119019;-0.000383397;-9.59085e-06;11;10.9953;2.7586
0.00133318;-0.000402077;-4.30001e-05;12;12.003;3.1078
0.00149161;-0.000446868;-3.79242e-05;13;13.0109;3.6542
0.00165748;-0.000462841;-1.70321e-05;14;13.973;3.885
0.00180725;-0.000522423;-5.04798e-05;15;14.9808;4.3505
0.00195232;-0.000533687;-3.94009e-05;16;15.9889;4.82
0.00211866;-0.000593225;-4.62252e-05;17;16.9968;5.1554
0.00226929;-0.000648928;-3.4502e-05;18;18.0044;5.6485
0.00242012;-0.00067525;-5.06471e-05;19;18.9666;5.9543
0.00255555;-0.000742314;-7.76168e-05;20;19.9746;6.3626
0.00269956;-0.000766032;-8.30899e-05;21;20.9823;6.765
0.00288915;-0.000795641;-5.63904e-05;22;21.9902;7.2345
0.00301165;-0.000871182;-5.28888e-05;23;22.9982;7.5975
0.0031663;-0.000933169;-5.89775e-05;24;24.0061;7.9742
0.00328988;-0.000951031;-6.2474e-05;25;25.0137;8.351
0.0034473;-0.0010146;-8.25968e-05;26;25.9759;8.6883
0.00360545;-0.00103744;-7.01714e-05;27;26.9837;9.1124
0.00376811;-0.00106119;-7.93653e-05;28;27.9917;9.4458
0.003902;-0.00108449;-9.04748e-05;29;28.9995;9.7299
0.00400718;-0.00116633;-5.20834e-05;30;30.0076;10.2487
0.00417931;-0.00116936;-7.60194e-05;31;30.9693;10.6609
0.00433857;-0.00120264;-0.000107756;32;31.9772;11.0712
0.00446532;-0.00126714;-8.74726e-05;33;32.9852;11.3159
0.00460281;-0.00131102;-0.000108689;34;33.9929;11.8307
0.00476707;-0.00135573;-0.000150114;35;35.001;12.2233
0.00490259;-0.00138378;-0.000136122;36;36.009;12.5014
0.00501421;-0.00143884;-9.72268e-05;37;36.9709;12.9689
0.00515564;-0.00147702;-0.000113143;38;37.9788;13.3792
0.00531989;-0.00153719;-0.00015651;39;38.9867;13.7382
0.00548482;-0.00158153;-0.000151081;40;39.9947;14.0243
0.00560057;-0.00159788;-9.8732e-05;41;41.0024;14.4129
0.00572266;-0.00164183;-0.000139204;42;41.9645;14.7344
0.00587779;-0.00167894;-0.0001469;43;42.9725;15.1881
0.00601538;-0.00171757;-0.000148158;44;43.9802;15.5511
0.0061576;-0.00178531;-0.000154246;45;44.9883;15.8549
0.00627955;-0.00176654;-0.000142659;46;45.996;16.3066
0.00640735;-0.00179081;-0.000198796;47;47.0039;16.6617
0.00655557;-0.00190916;-0.000143647;48;48.0116;17.001
0.00671299;-0.0019005;-0.000133034;49;48.9738;17.3166
0.00684764;-0.00192615;-0.000154351;50;49.9817;17.6421
0.00697623;-0.00200701;-0.000162886;51;50.9895;18.1254
0.00711631;-0.00203369;-0.000194746;52;51.9976;18.5238
0.00726341;-0.00207693;-0.000187227;53;53.0055;18.8237
0.00737508;-0.00214217;-0.000194737;54;53.9674;19.1215
0.00751072;-0.00214414;-0.000222932;55;54.9753;19.5989
