"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;0;0;-0.0366
-1.85888e-05;7.32654e-06;1.43713e-08;1;1.0078;-0.0149
1.45692e-07;8.68852e-06;-3.13694e-06;2;2.0157;-0.0149
-8.87248e-06;-6.8618e-07;-6.14826e-06;3;3.9857;-0.0228
-1.27691e-05;-1.1706e-05;7.94125e-06;4;4.9936;0.0463
-1.02738e-05;1.91548e-07;-2.56812e-06;5;6.0014;0.0581
-2.17701e-07;-9.37744e-07;-4.15363e-06;6;7.0094;0.0305
2.24437e-05;-1.10033e-05;-2.03534e-08;7;8.0172;0.0364
8.08877e-05;-6.05474e-05;-4.15351e-05;8;9.025;-0.0405
0.000277066;-0.00016446;-2.88824e-05;9;9.9871;0.137
0.000480687;-0.000310437;-5.91899e-05;10;10.995;0.3501
0.000678047;-0.000430818;-5.7737e-05;11;12.0029;0.4862
0.000862527;-0.000566648;-6.42224e-05;12;13.0108;0.6657
0.00104918;-0.000680715;-4.48492e-05;13;14.0187;0.9379
0.00126102;-0.000827058;-6.79818e-05;14;15.0266;1.1056
0.00143591;-0.000953344;-8.50486e-05;15;15.9885;1.1529
0.0016452;-0.00108516;-7.76675e-05;16;16.9965;1.437
0.00180831;-0.0012125;-0.000113067;17;18.0043;1.5316
0.00200095;-0.00135302;-0.000119777;18;19.0122;1.652
0.00221815;-0.00149657;-0.000123776;19;20.0201;1.8374
0.00238776;-0.00160029;-0.000169976;20;21.0279;2.0544
0.00256787;-0.00173905;-0.000176383;21;21.99;2.0504
0.00272906;-0.00189114;-0.000175962;22;22.9979;2.2734
0.00293024;-0.00204689;-0.000170873;23;24.0058;2.3897
0.00310869;-0.0021668;-0.000162427;24;25.0137;2.6028
0.00328597;-0.00229564;-0.000224997;25;26.0215;2.731
0.00347546;-0.00242768;-0.000204107;26;27.0294;2.9598
0.00363719;-0.0025628;-0.000236381;27;27.9915;3.0663
0.00382059;-0.00269397;-0.000266683;28;28.9993;3.1078
0.00400425;-0.00283333;-0.000299016;29;30.0074;3.3425
0.00418559;-0.00294587;-0.000300702;30;31.0151;3.3622
0.00436637;-0.00310737;-0.000294391;31;32.023;3.5437
0.00452473;-0.00322467;-0.000341995;32;32.9851;3.6858
0.0047082;-0.00336916;-0.000360437;33;33.9929;3.8495
0.00488701;-0.00349192;-0.000384475;34;35.0008;3.9461
0.00508512;-0.00364169;-0.000384549;35;36.0086;4.0862
0.00525458;-0.00371722;-0.000395427;36;37.0165;4.1907
0.00538273;-0.0039665;-0.000428914;37;38.0244;4.2144
0.00557397;-0.00403659;-0.000365995;38;38.9865;4.4373
0.00575834;-0.00418421;-0.000402403;39;39.9944;4.4748
0.00595145;-0.00433378;-0.000446672;40;41.0022;4.6563
0.00614574;-0.00447306;-0.000418576;41;42.0101;4.7865
0.00633261;-0.00461829;-0.000432549;42;43.0179;4.8062
0.00651041;-0.00476177;-0.000472689;43;44.0259;4.9897
0.00667809;-0.0048724;-0.000478252;44;44.9879;5.112
0.0068587;-0.0050156;-0.000499783;45;45.9958;5.112
0.00705908;-0.0051597;-0.000568778;46;47.0036;5.2717
0.00722185;-0.00530492;-0.000574712;47;48.0115;5.4019
0.00739414;-0.00544192;-0.000597951;48;49.0195;5.4611
0.00758035;-0.00558697;-0.000593861;49;49.9814;5.5578
0.00774463;-0.00572695;-0.000606655;50;50.9893;5.6051
0.0079146;-0.00586493;-0.000666162;51;51.9973;5.7432
0.00811031;-0.00600827;-0.000642009;52;53.0051;5.8162
0.00831226;-0.00615894;-0.000703239;53;54.013;5.9405
0.00847005;-0.0063088;-0.000696253;54;55.0208;6.0115
0.0086607;-0.00643706;-0.000708712;55;55.9829;6.0726
0.00884123;-0.00658459;-0.000717912;56;56.9908;6.1673
0.00900496;-0.00671182;-0.000747936;57;57.9987;6.1298
0.0091851;-0.00686984;-0.000736328;58;59.0066;6.258
0.00936189;-0.00700344;-0.000748402;59;60.0145;6.3251
0.00955442;-0.00717329;-0.000771945;60;61.0223;6.3784
0.00973135;-0.00731066;-0.000786463;61;61.9843;6.5263
0.00987448;-0.00746262;-0.000818286;62;62.9922;6.6447
0.0102808;-0.00778586;-0.000791522;63;65.0079;6.6762
0.0104835;-0.00794113;-0.000754341;64;66.0159;6.8873
0.0106524;-0.0080924;-0.000781148;65;67.0238;6.8814
0.0108141;-0.00823156;-0.000793997;66;67.9859;7.0057
0.0109888;-0.00837118;-0.000805665;67;68.9937;7.0865
0.0111801;-0.00852979;-0.000813543;68;70.0016;7.1319
0.0113753;-0.00867998;-0.000812831;69;71.0094;7.1122
0.0115644;-0.00883886;-0.000863893;70;72.0173;7.2325
0.0117619;-0.00899974;-0.000832844;71;73.0252;7.3252
0.0119078;-0.00912602;-0.000890317;72;73.9873;7.4061
0.0121156;-0.0092813;-0.000882329;73;74.9951;7.2878
0.0123102;-0.00944657;-0.000896482;74;76.003;7.4692
0.0124912;-0.00960548;-0.000909495;75;77.0108;7.5481
0.0126809;-0.00974941;-0.000922631;76;78.0188;7.5383
0.0128642;-0.00989175;-0.000938679;77;79.0267;7.5738
0.0130492;-0.0100211;-0.000958957;78;79.9887;7.6665
0.0132339;-0.0101991;-0.000994391;79;80.9965;7.6487
0.0134153;-0.010352;-0.00101085;80;82.0044;7.7849
0.0136022;-0.0105038;-0.00103707;81;83.0123;7.7632
0.013781;-0.0106562;-0.00103157;82;84.0202;7.7493
0.013972;-0.0108113;-0.00106968;83;84.9823;7.848
0.0141613;-0.0109683;-0.00109082;84;85.9901;7.8835
0.0143224;-0.011112;-0.00110103;85;86.9981;8.0176
0.0145085;-0.0112788;-0.00111281;86;88.0059;8.065
0.0147188;-0.0114438;-0.00110544;87;89.0137;8.0748
0.0149007;-0.0115995;-0.00112287;88;90.0217;8.1419
0.0150886;-0.0117486;-0.0011465;89;90.9837;8.1794
0.0152968;-0.0118924;-0.00114964;90;91.9916;8.1202
0.0154853;-0.0120597;-0.00119338;91;92.9995;8.2405
0.0156902;-0.0122316;-0.00120398;92;94.0073;8.2445
0.0158828;-0.0123983;-0.00121625;93;95.0152;8.2938
0.0160599;-0.0125485;-0.00124809;94;96.0231;8.2662
0.0162421;-0.0127068;-0.00122101;95;96.9852;8.2543
0.0164379;-0.0128527;-0.00126482;96;97.993;8.4674
0.0166281;-0.0130263;-0.00126995;97;99.0009;8.3924
0.0168324;-0.0131704;-0.00129381;98;100.009;8.5423
0.0170038;-0.0133314;-0.00129608;99;101.017;8.5621
0.0171752;-0.0134918;-0.0013351;100;102.025;8.6548
0.0173717;-0.0136485;-0.00134512;101;102.987;8.6508
