,Time [s],Load [N],Displacement [mm]
0,0.0078125,-414.31384088287115,0.00023172121
1,0.012695313,-403.04793234564806,0.00059098704
2,0.017578125,-413.864272470424,0.00041253457000000004
3,0.022460938,-414.3110562961496,-0.0010242249
4,0.02734375,-414.80969748928806,0.0006276700900000001
5,0.032226563,-422.55105319352964,0.0006978563000000001
6,0.037109375,-420.916327307308,-0.0011601864
7,0.041992188,-417.68787924157357,0.0008193869099999999
8,0.046875,-431.68349234229595,0.0006756495
9,0.051757813,-422.7687269175256,-0.00040028477
10,0.056640625,-413.9316363383344,-0.00063185755
11,0.061523438,-411.4243561995,-0.0011116691
12,0.06640625,-404.4237494936416,0.00071585644
13,0.071289063,-397.3359576444233,-0.00037675258
14,0.076171875,-381.6793519089312,-0.0012441538
15,0.081054688,-369.4928260847072,0.0008583872099999999
16,0.0859375,-366.92323525769996,0.0021390372
17,0.09082031300000001,-353.1360969587048,0.0018181466
18,0.095703125,-351.4382508079792,1.7415150000000002e-05
19,0.10058594,-344.2461036800248,0.0019922526999999997
20,0.10546875,-348.1725044041288,0.0026685570000000002
21,0.11035156,-345.6864645234344,0.0025417912
22,0.11523438,-342.87775064787604,0.0021937448
23,0.12011719,-349.30349588348,0.0029820437
24,0.125,-345.26795359419845,0.0030334196
25,0.12988281,-336.2652156908448,0.0033258868
26,0.13476563,-338.09955996958803,0.002121245
27,0.13964844,-331.303389080244,0.0042607971
28,0.14453125,-335.4271707414048,0.0038709426000000003
29,0.14941406,-326.1835171561952,0.0036151952000000004
30,0.15429688,-314.8053088164584,0.003751724
31,0.15917969,-320.797267929852,0.0061780913
32,0.1640625,-327.4956980459792,0.0046335738000000005
33,0.16894531,-328.6016104519497,0.0046833223
34,0.17382813,-330.79202152510805,0.0047468864
35,0.17871094,-328.8660171920752,0.0049149366
36,0.18359375,-332.371429327512,0.0048746965
37,0.18847656,-336.5446218342056,0.0061563421
38,0.19335938,-344.42369447918327,0.0057214014
39,0.19824219,-342.29179086472965,0.0054758764
40,0.203125,-339.8284235695304,0.006217549100000001
41,0.20800781,-350.35304042533517,0.005373686999999999
42,0.21289063,-351.97921238142,0.0045151776
43,0.21777344,-345.2252239775088,0.0050306018
44,0.22265625,-340.7054972152888,0.005798873
45,0.22753906,-335.54561353794804,0.0040959166
46,0.23242188,-323.1828892079264,0.0060113561
47,0.23730469,-322.1172243109928,0.0050281119
48,0.2421875,-305.01210859012,0.005584773100000001
49,0.24707031,-290.87725280865277,0.007573365699999999
50,0.25195313,-291.418209933872,0.0076345466
51,0.25683594,-285.44359443649677,0.007704971800000001
52,0.26171875,-279.7269001721544,0.0084048063
53,0.26660156,-283.3784808693672,0.008126045600000001
54,0.27148438,-276.15958658493196,0.0090749832
55,0.27636719,-280.5352487941928,0.0085677737
56,0.28125,-275.32323640792157,0.009081923399999999
57,0.28613281,-280.4336781021784,0.009511041500000001
58,0.29101563,-278.55115958350723,0.0092032496
59,0.29589844,-275.3648806585408,0.0082179056
60,0.30078125,-276.3135929131672,0.0091636349
61,0.30566406,-274.9821022934176,0.0091342703
62,0.31054688,-270.4930015369136,0.008445445400000001
63,0.31542969,-266.7892254074464,0.008439380699999999
64,0.3203125,-260.2992567483816,0.0080463514
65,0.32519531,-256.38434133244886,0.0098289689
66,0.33007813,-262.7354231684968,0.0091650663
67,0.33496094,-259.63271298272963,0.0094309803
68,0.33984375,-270.49099983719356,0.010783562
69,0.34472656,-268.61459317500083,0.010933298999999999
70,0.34960938,-273.0447950292992,0.0088916142
71,0.35449219,-275.32493562857275,0.010741328999999999
72,0.359375,-282.639800294028,0.01142628
73,0.36425781,-270.63150136465117,0.010047998
74,0.36914063,-256.9433715820288,0.0089997994
75,0.37402344,-256.0229633614432,0.011780981000000001
76,0.37890625,-255.3371765891496,0.010851236
77,0.38378906,-235.7285928553536,0.010886458
78,0.38867188,-222.79808417564323,0.013158854
79,0.39355469,-232.5417356615792,0.012842043000000001
80,0.3984375,-233.4428208075344,0.01362477
81,0.40332031,-236.29590569355278,0.01380402
82,0.40820313,-248.1276146736312,0.012056882
83,0.41308594,-241.9413172067552,0.01211
84,0.41796875,-243.87313981364082,0.012373116000000002
85,0.42285156,-234.753271339116,0.013485266999999999
86,0.42773438,-232.11872313208403,0.012013438999999999
87,0.43261719,-226.0711078700312,0.012707923000000001
88,0.4375,-225.0332221169896,0.012238048
89,0.44238281,-209.68446445376878,0.013200183999999998
90,0.44726563,-202.62891331470718,0.014525443
91,0.45214844,-209.1965657157944,0.014454976000000001
92,0.45703125,-212.814731372348,0.015464967
93,0.46191406,-217.26045752003043,0.014686593000000001
94,0.46679688,-219.1947800274552,0.012666278000000001
95,0.47167969,-213.5400228006712,0.016043613
96,0.4765625,-229.5293154778488,0.013987706
97,0.48144531,-216.0946809477672,0.014503249
98,0.48632813,-211.3797484288528,0.013370665
99,0.49121094,-217.94321060519283,0.014815509
100,0.49609375,-217.9504523099576,0.014221621
101,0.50097656,-213.1404790883376,0.014039781999999999
102,0.50585938,-204.8464362985176,0.013036143
103,0.51074219,-208.192361896708,0.013971266999999999
104,0.515625,-203.5990748938888,0.015581958
105,0.52050781,-198.5781447628888,0.015053762
106,0.52539063,-187.342679854296,0.013857953999999999
107,0.53027344,-177.1927633931888,0.017128307
108,0.53515625,-184.1344044735176,0.017022332
109,0.54003906,-178.9756239551336,0.016030366
110,0.54492188,-173.63261144274242,0.016798899
111,0.54980469,-170.5614124587896,0.017855733999999998
112,0.5546875,-177.5474601353512,0.017734818
113,0.55957031,-168.2623491248296,0.017363856
