,Time [s],Load [N],Displacement [mm]
0,0.0078125,-526.675976325752,0.002142638
1,0.012695313,-528.8381233988639,0.00037953258000000004
2,0.017578125,-519.428577837304,-2.7269124999999998e-05
3,0.022460938,-512.241230340456,4.6938658e-05
4,0.02734375,-501.827409788264,0.00033795834
5,0.032226563,-499.29477033808803,-0.00018507242
6,0.037109375,-501.68168604864803,0.0011618435
7,0.041992188,-513.7709737486961,8.136034e-05
8,0.046875,-507.524425120248,-8.359551400000001e-05
9,0.051757813,-506.91150466598395,-0.00075101852
10,0.056640625,-512.193500922688,-0.0007787346799999999
11,0.061523438,-509.965431205464,1.8328428e-05
12,0.06640625,-502.550646138208,0.00011399388000000001
13,0.071289063,-499.98522329484,0.00040501356
14,0.076171875,-493.29598765276,0.0013875960999999999
15,0.081054688,-487.8555012604481,0.0028730928999999997
16,0.0859375,-485.14684568155997,0.00052347779
17,0.09082031300000001,-472.620075387152,0.0029325485
18,0.095703125,-490.29054672872,0.00068843365
19,0.10058594,-478.38999707116005,0.0015360117000000001
20,0.10546875,-464.228149481024,0.00060841441
21,0.11035156,-462.38631884532805,0.00233531
22,0.11523438,-466.831426690208,0.0030671059999999996
23,0.12011719,-453.7753180254,0.002772063
24,0.125,-444.0532759999968,0.0035955012
25,0.12988281,-453.92602377320804,0.0026138127
26,0.13476563,-452.301711173752,0.0037416816
27,0.13964844,-461.985712008032,0.0047984719
28,0.14453125,-462.37319659160806,0.0029821694
29,0.14941406,-462.538937328424,0.0025288761
30,0.15429688,-458.87053345711996,0.0045222044
31,0.15917969,-457.01780467850404,0.0037810206
32,0.1640625,-437.8372644128328,0.0028257072
33,0.16894531,-434.1837843249968,0.0048784912
34,0.17382813,-434.8502435744384,0.0056192279
35,0.17871094,-431.29179084464323,0.0047796965000000005
36,0.18359375,-426.39033549759756,0.0038149953000000004
37,0.18847656,-416.7865049612144,0.0037778914
38,0.19335938,-419.2753961519544,0.0057470798
39,0.19824219,-417.3304512913488,0.006275028
40,0.203125,-413.1725651151808,0.0068740547
41,0.20800781,-416.18327273359523,0.0062723458
42,0.21289063,-429.09211412589195,0.0064520538
43,0.21777344,-427.527541142524,0.005748421
44,0.22265625,-428.808940338836,0.0063921511
45,0.22753906,-435.14251397466643,0.006468594100000001
46,0.23242188,-440.7188446064208,0.0063787401
47,0.23730469,-447.999124348936,0.0068087876
48,0.2421875,-447.61337457178405,0.0072446465
49,0.24707031,-451.33502365564004,0.0066259503
50,0.25195313,-448.5353129806,0.0071471930000000005
51,0.25683594,-452.464694013176,0.007447153299999999
52,0.26171875,-443.1462391335408,0.0062464178
53,0.26660156,-443.34609328180727,0.0058177114
54,0.27148438,-430.4022977641776,0.0061874092000000006
55,0.27636719,-417.951810021988,0.006241500400000001
56,0.28125,-394.70215229039843,0.00684008
57,0.28613281,-381.9684952093744,0.0083300471
58,0.29101563,-375.32270089944,0.0083680451
59,0.29589844,-376.51875206791277,0.0087551773
60,0.30078125,-372.61678542505757,0.0079040229
61,0.30566406,-366.11413933443276,0.0091069937
62,0.31054688,-368.7204858165208,0.010193735
63,0.31542969,-368.66170256807675,0.010661334
64,0.3203125,-364.23007728286643,0.009890645699999999
65,0.32519531,-369.32439862204484,0.0095938146
66,0.33007813,-375.2227893940824,0.009938925500000001
67,0.33496094,-370.28288806774805,0.0099688768
68,0.33984375,-368.2646053776232,0.0094753504
69,0.34472656,-372.40752773632886,0.0093980134
70,0.34960938,-380.3420207742208,0.01020804
71,0.35449219,-373.7400058612736,0.010934471999999999
72,0.359375,-370.31451492332405,0.0093863904
73,0.36425781,-375.0160449505576,0.0094234943
74,0.36914063,-380.7558521743336,0.0094650686
75,0.37402344,-369.1253540501096,0.010055155
76,0.37890625,-360.7723500829816,0.010085553
77,0.38378906,-360.1162062594304,0.0099371374
78,0.38867188,-352.8013060082024,0.010350645
79,0.39355469,-339.65188255066965,0.011404306000000001
80,0.3984375,-333.8292049584856,0.011923313
81,0.40332031,-335.7251393135024,0.0110659
82,0.40820313,-335.57710694687603,0.012722164
83,0.41308594,-329.39788215234404,0.012978315
84,0.41796875,-321.1392205171304,0.011699796
85,0.42285156,-323.41243968359436,0.013581812
86,0.42773438,-338.26856570105844,0.014310926000000002
87,0.43261719,-332.50931530066885,0.013458878
88,0.4375,-335.95353769977595,0.013171434
89,0.44238281,-342.1857052277912,0.014108418999999999
90,0.44726563,-347.5669635494992,0.014081597
91,0.45214844,-342.273837842352,0.013114213999999999
92,0.45703125,-333.6584644205912,0.013366342
93,0.46191406,-330.4183397731568,0.013843775
94,0.46679688,-334.0907248027928,0.013901888999999999
95,0.47167969,-319.83650544291123,0.013681948000000001
96,0.4765625,-312.4726347200888,0.013187528
97,0.48144531,-311.8449639629992,0.014715046
98,0.48632813,-314.64909617030963,0.014491975
99,0.49121094,-314.5319122204792,0.014104843
100,0.49609375,-304.6023517609928,0.014087856000000001
101,0.50097656,-301.30168236936083,0.013282746000000002
102,0.50585938,-298.7617878697552,0.015414208
103,0.51074219,-305.5375280772904,0.016336888
104,0.515625,-300.6979741820304,0.014495998999999999
105,0.52050781,-305.31846205993355,0.015535355
106,0.52539063,-319.85670036897517,0.015478134
107,0.53027344,-309.54816032561195,0.016079843
108,0.53515625,-304.985063402792,0.015570223000000001
109,0.54003906,-305.406732569364,0.01592651
110,0.54492188,-314.3834038941416,0.017474592
111,0.54980469,-312.2575765503936,0.017026663
112,0.5546875,-300.73547713834,0.015457571000000002
113,0.55957031,-293.7087682681328,0.014759748999999999
114,0.56445313,-285.54713569068,0.018507242
115,0.56933594,-281.4777735725736,0.017308742
116,0.57421875,-264.9953377041552,0.017338693
117,0.57910156,-264.3528232315864,0.017671287
118,0.58398438,-264.4235455068048,0.01950413
119,0.58886719,-262.9657076007288,0.019356161
120,0.59375,-253.7268358537392,0.019009709
121,0.59863281,-253.3518107388648,0.0202775
122,0.60351563,-261.5549496720672,0.018435717
