,Time [s],Load [N],Displacement [mm]
0,0.0078125,-325.3263626467616,0.0009794533300000001
1,0.012695313,-335.0507755742776,0.00052705407
2,0.017578125,-340.4800168623848,0.0004447996599999999
3,0.022460938,-352.8532300989392,8.4936619e-05
4,0.02734375,-350.6112685856584,0.00064015388
5,0.032226563,-367.828648523272,-0.0007107853900000001
6,0.037109375,-361.38572870407035,-0.00036925077000000007
7,0.041992188,-362.9585842760576,0.00040456652999999997
8,0.046875,-356.01445219163276,-0.0009284913499999999
9,0.051757813,-358.7059109458152,-0.00096604228
10,0.056640625,-356.78329615764164,-0.0018395483
11,0.061523438,-343.1258012771784,-0.0007210671899999999
12,0.06640625,-338.60020286244645,-0.0009611249
13,0.071289063,-320.0484454092648,-0.0008927285699999999
14,0.076171875,-301.01484769592804,-0.00087037683
15,0.081054688,-291.75086128978484,0.00044837594000000003
16,0.0859375,-288.5990783233264,0.0017277896
17,0.09082031300000001,-280.5662706916312,0.0004054606
18,0.095703125,-276.8667025797976,-1.6987324e-05
19,0.10058594,-267.0073439536024,0.0012521446000000002
20,0.10546875,-263.06074830343437,0.0020313263
21,0.11035156,-258.0414951519776,0.0023527443
22,0.11523438,-261.1359094044608,0.0026844442
23,0.12011719,-261.513972654688,0.0023800135
24,0.125,-250.096855720616,0.0032410026
25,0.12988281,-240.646831342496,0.0033192337
26,0.13476563,-244.19722389475197,0.0031721592
27,0.13964844,-239.67161213535522,0.0030563771999999995
28,0.14453125,-236.4899593608528,0.0038002431
29,0.14941406,-239.3867569205344,0.0035284459999999998
30,0.15429688,-231.70002537754078,0.00414446
31,0.15917969,-233.36834423328563,0.004273653
32,0.1640625,-234.4639234204792,0.0043773651
33,0.16894531,-219.70804697321444,0.0043840706
34,0.17382813,-234.9186161842096,0.0043621659
35,0.17871094,-234.0489577238584,0.005852133000000001
36,0.18359375,-238.9845353787976,0.0051324069
37,0.18847656,-240.30243668155921,0.005912035699999999
38,0.19335938,-247.8326175135624,0.0052312016
39,0.19824219,-254.66540171489598,0.0055959821
40,0.203125,-261.24727508043844,0.0053317845
41,0.20800781,-269.2465698105992,0.0037921965
42,0.21289063,-265.45885573954,0.0046165287
43,0.21777344,-261.9713254549352,0.0043000281
44,0.22265625,-258.0422424532064,0.004804730399999999
45,0.22753906,-251.41674537843278,0.0049482286
46,0.23242188,-241.1542266357432,0.0050716102
47,0.23730469,-228.963221452368,0.0046956539
48,0.2421875,-207.19620046227442,0.0052392483
49,0.24707031,-196.6308290001704,0.0067605078
50,0.25195313,-194.3172600155728,0.0080122054
51,0.25683594,-194.18281696593442,0.008527189499999999
52,0.26171875,-193.38481490733759,0.007575005300000001
53,0.26660156,-196.40312453646638,0.006992965899999999
54,0.27148438,-192.2451360512016,0.0094252825
55,0.27636719,-194.6724638549976,0.007427036800000001
56,0.28125,-180.50673741562642,0.0085343421
57,0.28613281,-184.93671685884482,0.009236186700000001
58,0.29101563,-183.63215132444,0.0077265501
59,0.29589844,-183.7344915587912,0.0099487603
60,0.30078125,-191.7485143506696,0.0087538362
61,0.30566406,-184.5469814751392,0.0086604059
62,0.31054688,-196.8599702394512,0.0090529025
63,0.31542969,-196.38072774071043,0.010167807
64,0.3203125,-196.489802582564,0.007995218
65,0.32519531,-197.2720712813616,0.0079527497
66,0.33007813,-198.644254232308,0.009068995699999999
67,0.33496094,-197.62152357025758,0.0091011822
68,0.33984375,-194.3450169183568,0.0075763464
69,0.34472656,-188.5801839998592,0.007929951
70,0.34960938,-181.8117433239696,0.008825361700000001
71,0.35449219,-175.39774139338962,0.0082285702
72,0.359375,-157.9361674346008,0.010217875
73,0.36425781,-157.3895032410688,0.009674727900000001
74,0.36914063,-146.4885579414608,0.011247844
75,0.37402344,-155.6250049378888,0.012292117
76,0.37890625,-156.05960508465202,0.011707842
