"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;30;111.508;0.9655
0.00033748;6.10162e-06;-3.44284e-05;31;112.47;1.0701
0.000540458;-2.88343e-05;1.71607e-05;32;113.478;1.2811
0.000851128;-3.24277e-05;-7.66237e-06;33;114.486;1.3975
0.00110917;-2.70988e-05;-3.53002e-05;34;115.493;1.4981
0.00141763;-4.49543e-05;-5.87583e-05;35;116.501;1.581
0.00168689;-5.97024e-05;-0.00010649;36;117.509;1.7388
0.00191735;-4.84356e-05;-5.34472e-05;37;118.471;1.8926
0.00215844;-7.43172e-05;-8.14996e-05;38;119.479;2.0643
0.00245406;-8.61598e-05;-6.33007e-05;39;120.487;2.1037
0.00272841;-8.78177e-05;-8.88821e-05;40;121.495;2.2063
0.00300915;-0.000103354;-0.000101348;41;122.503;2.4114
0.00321355;-5.07517e-05;-0.000138829;42;123.511;2.5298
0.00347685;-6.37304e-05;-0.00010463;43;124.473;2.6087
0.00374106;-8.00555e-05;-0.000100282;44;125.48;2.802
0.00397169;-6.38347e-05;-9.33668e-05;45;126.489;2.8947
0.00424021;-7.45575e-05;-0.000117347;46;127.496;2.9006
0.00443987;-5.98422e-05;-0.000131433;47;128.504;3.1591
0.00469976;-0.000115829;-0.000163701;48;129.466;3.1571
0.00492558;-8.61494e-05;-0.000112583;49;130.52;3.3504
0.00521124;-0.000112972;-0.00015666;50;131.482;3.4273
0.00541503;-0.000104632;-0.000146504;51;132.49;3.593
0.00568478;-0.000116377;-0.000178841;52;133.497;3.5911
0.00591297;-0.000115521;-0.000154116;53;134.506;3.6917
0.00614926;-0.000130305;-0.000207045;54;135.467;3.8021
0.00637938;-0.00012157;-0.00022499;55;136.475;4.0191
0.0066305;-0.000153749;-0.000177642;56;137.483;4.1316
0.00683336;-0.000135727;-0.00018309;57;138.491;4.2381
0.007086;-0.000142478;-0.0002212;58;139.499;4.3269
0.00732235;-0.000153017;-0.000207491;59;140.507;4.2973
0.00754541;-0.000138687;-0.000195312;60;141.469;4.4945
0.00777374;-0.00012979;-0.000238211;61;142.477;4.4926
0.00800932;-0.000160512;-0.000239377;62;143.485;4.6109
0.00822145;-0.00012326;-0.000241945;63;144.493;4.6977
0.00846386;-0.000163204;-0.000266643;64;145.501;4.8693
0.00868023;-0.000158585;-0.000291379;65;146.508;4.9719
0.00893215;-0.000196792;-0.0002999;66;147.471;4.964
-0.00148123;-0.000492021;0.0001519;67;148.478;0.0699
-0.00151166;-0.000475376;0.000159543;68;149.486;0.0443
-0.0015101;-0.000488686;0.000181041;69;150.494;-0.0011
-0.00154463;-0.000493898;0.000134406;70;151.502;-0.0583
-0.00155146;-0.000515169;0.00013658;71;152.143;0.0719
