"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;0;0;-0.4094
7.03177e-05;4.10403e-05;-3.57938e-05;1;1.0079;-0.3206
6.26391e-05;5.05143e-05;-4.39551e-05;2;1.9698;-0.3167
5.82096e-05;3.94187e-05;-1.78458e-05;3;2.978;-0.3325
2.15016e-05;-4.89877e-05;-6.72191e-05;4;4.9936;-0.2871
0.00036311;8.02417e-06;-1.62263e-05;5;6.0014;-0.3206
0.000620359;-3.0783e-05;-6.31208e-05;6;6.9636;-0.0484
0.000926682;-1.11619e-05;-1.60293e-05;7;7.9715;0.1449
0.00121133;-2.20356e-06;-3.22418e-06;8;8.9793;0.2909
0.0014993;-9.94196e-05;-3.75795e-06;9;9.9873;0.4467
0.00177839;-4.93974e-05;7.89421e-06;10;10.9952;0.5414
0.00202717;-5.21924e-05;-6.81162e-05;11;12.003;0.7426
0.00227877;-7.29981e-05;2.14423e-05;12;12.965;0.7268
0.00257988;-4.69675e-05;1.0742e-06;13;13.9729;0.9872
0.00282766;-8.07964e-05;8.62808e-06;14;14.9806;1.1095
0.00310578;-7.82721e-05;-1.13005e-05;15;15.9888;1.2594
0.003335;-9.90546e-05;-7.45373e-05;16;16.9963;1.3107
0.00360424;-9.80963e-05;-8.15513e-06;17;18.0045;1.4883
0.00383836;-0.000121212;-4.80941e-05;18;18.9664;1.6184
0.00411355;-0.000140006;-3.06414e-05;19;19.9743;1.6618
0.0043458;-0.000108262;-6.51708e-05;20;20.9819;1.7388
0.00461292;-0.000124693;-4.24119e-05;21;21.9898;1.8907
0.00486775;-0.000124798;-7.518e-05;22;22.9979;2.0643
0.0051251;-0.000154024;-7.99829e-05;23;24.006;2.2339
0.00535101;-0.000127644;-7.78763e-05;24;24.9679;2.3385
0.00561054;-0.000138231;-4.98022e-05;25;25.9758;2.4746
0.00609502;-0.000179875;-9.49952e-05;26;27.9916;2.6205
0.00635905;-0.00015505;-9.87349e-05;27;28.9995;2.7172
0.00659127;-0.00016427;-0.000108558;28;30.0074;2.9243
0.00680648;-0.000181217;-0.000108177;29;30.9694;2.9815
0.00706164;-0.00018965;-0.000117936;30;31.9772;3.0663
0.00777039;-0.000209264;-0.000116094;31;35.001;3.4944
0.00801393;-0.000178431;-5.30832e-05;32;36.0089;3.5753
0.00824422;-0.000238838;-0.000149059;33;36.9707;3.6641
0.00849448;-0.000233623;-0.000152712;34;37.9788;3.7883
0.00866168;-0.000238887;-0.000106496;35;38.9867;3.8021
0.00893599;-0.000259064;-7.96025e-05;36;39.9945;3.8791
0.00915504;-0.000284606;-0.000105199;37;41.0023;3.9738
0.00958989;-0.000275718;-0.000123097;38;42.9722;4.2874
0.00983306;-0.000254033;-0.000148244;39;43.9798;4.2637
0.0102804;-0.000326552;-0.000129657;40;45.996;4.4768
0.0105063;-0.000324968;-0.000154318;41;47.0038;4.6129
0.0107241;-0.000287633;-0.000153485;42;47.9657;4.7431
0.0109384;-0.000337543;-0.000166887;43;48.9737;4.8338
0.0111774;-0.000326715;-0.000155141;44;49.9815;4.9403
0.0114084;-0.000321028;-0.000137474;45;50.9894;5.0015
0.0116019;-0.00029129;-0.000186013;46;51.9973;5.1001
0.0118118;-0.00032621;-0.000162539;47;53.0052;5.1277
0.0120432;-0.000329808;-0.000199379;48;53.9674;5.327
0.0122653;-0.000345423;-0.000241287;49;54.9752;5.3822
0.0124472;-0.000302494;-0.000177211;50;55.9832;5.4907
0.000930835;-0.000433662;0.00127455;51;56.9907;0.0818
0.000870895;-0.000419469;0.00123174;52;57.9988;-0.0445
0.000840306;-0.000479365;0.00119059;53;59.0068;0.0482
0.000819468;-0.000479436;0.00116081;54;59.923;0.0048
