"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;0;0;-0.2634
-1.51591e-05;-2.54974e-08;-1.29223e-05;1;0.9621;-0.2477
1.82937e-06;-6.44855e-06;-2.11397e-05;2;2.0159;-0.3502
2.37143e-05;1.57184e-05;-7.49797e-06;3;2.9778;-0.4153
-1.95082e-05;-1.46774e-05;-7.94908e-06;4;3.9858;-0.3088
-9.96197e-06;-5.76696e-06;-2.48491e-06;5;4.9936;-0.4173
2.02434e-05;1.18594e-05;-3.32636e-05;6;6.0015;-0.3344
9.5753e-05;2.85622e-05;3.88216e-06;7;7.0094;-0.37
0.000481119;0.000123953;0.00011654;8;7.9714;-0.2102
0.000816259;0.000155027;0.000173348;9;8.9793;0.0364
0.00112637;0.000185175;0.000176848;10;9.9871;0.0759
0.00138808;0.000219072;0.000197396;11;10.995;0.1548
0.00166791;0.000213882;0.000208023;12;12.0029;0.3816
0.00194033;0.000251243;0.00019722;13;13.0108;0.5315
0.00218977;0.000199598;0.00020706;14;13.9729;0.5927
0.0024419;0.000210266;0.000175873;15;14.9807;0.5868
0.00271225;0.000212213;0.000209766;16;15.9886;0.8649
0.00297069;0.000226534;0.000215862;17;16.9965;0.9359
0.00322676;0.000205626;0.000195378;18;18.0043;1.1529
0.00349077;0.000207943;0.000211364;19;19.0122;1.2792
0.00374399;0.000187976;0.000197684;20;19.9743;1.2594
0.00398965;0.000190645;0.000191123;21;20.9821;1.5277
0.00424433;0.000183055;0.000198039;22;21.99;1.6678
0.00450848;0.000175736;0.000191074;23;22.9979;1.7171
0.00475476;0.000175972;0.000176795;24;24.0058;1.8946
0.0050196;0.000170648;0.000175803;25;25.0137;1.8828
0.00524753;0.000174116;0.000164894;26;25.9757;2.1313
0.00549662;0.00015715;0.000161556;27;26.9836;2.1412
0.00572377;0.000183362;0.000143736;28;27.9915;2.2891
0.00600524;0.000153314;0.00019073;29;28.9995;2.4765
0.00621684;0.000122398;0.000158379;30;30.0072;2.4825
0.00646604;0.000141914;0.000157588;31;31.0152;2.6738
0.00668883;0.000127487;0.000149271;32;31.9772;2.7192
0.00695935;9.94007e-05;0.000148325;33;32.985;2.9322
0.00719852;0.000110177;0.000142024;34;33.9929;2.8928
0.00743874;0.000127577;0.000150953;35;35.0008;3.0999
0.00766928;0.000122937;0.000132688;36;36.0088;3.2774
0.00789831;8.97906e-05;0.00014569;37;36.9708;3.2893
0.00812313;8.36972e-05;0.000121128;38;37.9786;3.3386
0.00837304;8.43044e-05;9.91913e-05;39;38.9865;3.5773
0.00860696;7.85997e-05;0.000118168;40;39.9944;3.5496
0.00884425;7.55783e-05;9.18698e-05;41;41.0023;3.7666
0.00908484;7.19861e-05;9.84558e-05;42;42.0101;3.8593
0.00932059;7.18623e-05;9.37272e-05;43;42.9722;3.9442
0.00953558;5.75827e-05;8.6806e-05;44;43.98;4.0566
0.00977939;4.97692e-05;9.17669e-05;45;44.9879;4.0803
0.00999731;5.34349e-05;8.86244e-05;46;45.9958;4.2243
0.0102481;3.59651e-05;7.95107e-05;47;47.0037;4.2144
0.0106842;1.05994e-06;4.93321e-05;48;48.9736;4.5202
0.0109417;2.13288e-05;7.93438e-05;49;49.9815;4.5537
0.0111756;3.58502e-05;7.89381e-05;50;50.9894;4.6681
0.0116691;-9.78833e-08;0.000103159;51;53.0052;4.8733
0.0118823;1.06779e-05;6.4568e-05;52;54.013;4.9285
0.0120917;5.97204e-06;4.42204e-05;53;54.9751;5.1652
0.0123191;-1.57263e-05;3.93698e-05;54;55.9829;5.2264
0.0125542;-1.61928e-05;4.38637e-05;55;56.9908;5.3447
0.0127899;-2.94771e-05;5.24679e-05;56;57.9988;5.3151
0.0130091;-1.98715e-05;3.55941e-05;57;59.0066;5.3566
0.013235;-2.14949e-05;6.3546e-05;58;60.0144;5.5065
0.0134627;-4.93595e-05;2.7761e-05;59;60.9765;5.5006
0.013712;-4.34129e-05;4.0315e-05;60;61.9844;5.7629
0.0139158;-4.42192e-05;2.732e-05;61;62.9922;5.8418
0.0141687;-4.4058e-05;3.03668e-05;62;64.0001;5.901
0.00136475;-0.000706615;0.000370261;63;65.008;0.0384
0.00130743;-0.000750093;0.000395482;64;66.016;0.0187
0.00127647;-0.000734096;0.000392241;65;66.9779;0.0384
0.0012575;-0.000709041;0.000377977;66;67.9858;-0.007
0.00125364;-0.000718045;0.000397393;67;68.9937;-0.0464
0.00124505;-0.000717393;0.00037768;68;70.0016;0.0522
0.00123725;-0.000728644;0.000385877;69;71.0095;-0.0247
0.00122742;-0.000713936;0.000402038;70;71.9715;0.1074
0.00122631;-0.000722648;0.000389182;71;72.0631;0.068
