"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;0;0;-0.1826
1.96401e-05;4.2658e-05;-1.30765e-05;1;1.0079;-0.1865
0.000261616;0.000725488;-3.35632e-06;2;2.0158;-0.1687
0.000542601;0.00100663;-4.48624e-05;3;3.0237;0.1508
0.000764191;0.00100793;-4.27428e-05;4;4.0315;0.6065
0.000947286;0.000960565;-3.19821e-05;5;5.0395;0.9714
0.00116097;0.000914471;-3.26687e-05;6;6.0474;1.3364
0.00132892;0.00087721;-3.85141e-05;7;7.0094;1.648
0.00148165;0.000821689;-0.000107735;8;8.0173;1.9715
0.00167258;0.000763291;-0.000131064;9;9.0252;2.3286
0.00184843;0.000717288;-0.000142239;10;10.033;2.6284
0.00208055;0.000632853;-0.000112243;11;11.0408;3.0091
0.00221786;0.000591016;-0.000168505;12;12.0487;3.2873
0.00241658;0.000554171;-0.000174521;13;13.0108;3.7173
0.00252727;0.000480754;-0.000132949;14;14.0187;4.0507
0.0027118;0.000434555;-0.000183949;15;15.0266;4.3979
0.00286669;0.000385841;-0.000159582;16;16.0344;4.745
0.00306127;0.000324433;-0.000205048;17;17.0423;5.112
0.00320296;0.000311679;-0.000151601;18;18.0044;5.3822
0.00338058;0.000230556;-0.000180282;19;19.0124;5.83
0.00354376;0.000168522;-0.000175499;20;20.0202;6.0983
0.00370204;0.000101626;-0.000209888;21;21.0281;6.4237
0.00387136;5.90072e-05;-0.000191271;22;22.0359;6.913
0.0040676;1.64197e-05;-0.000195703;23;23.0438;7.1714
0.00416973;-3.85338e-05;-0.00018391;24;24.0058;7.5284
0.00436138;-9.12098e-05;-0.000163317;25;25.0137;7.8283
0.00450899;-5.60356e-05;-0.000165437;26;26.0215;8.1952
0.00464441;-0.000220584;-0.000201416;27;27.0294;8.4654
0.00484224;-0.000217293;-0.000208824;28;28.0374;8.8954
0.00497662;-0.00028786;-0.000185362;29;29.0452;9.2268
0.00514828;-0.000355062;-0.000222175;30;30.0073;9.5385
0.00528568;-0.000383243;-0.000217191;31;31.0151;9.9153
0.00546771;-0.000431419;-0.000214908;32;32.023;10.1974
0.005607;-0.000499255;-0.000208612;33;33.0311;10.5465
0.0057637;-0.000540781;-0.000220742;34;34.0388;10.9371
0.00591292;-0.000599206;-0.000220041;35;35.0467;11.3139
0.00607364;-0.000635884;-0.000201622;36;36.0087;11.523
0.00621944;-0.000701194;-0.000216755;37;37.0166;11.9096
0.00656763;-0.000760762;-0.000215744;38;39.0324;12.5626
0.00668673;-0.000826309;-0.000242906;39;40.0403;12.8249
0.00684107;-0.000858834;-0.000227136;40;41.0481;13.1681
0.0070002;-0.000921941;-0.000228758;41;42.0102;13.5114
0.00729946;-0.000998741;-0.000229626;42;44.0259;14.2334
0.0074133;-0.0010548;-0.000239948;43;45.0338;14.5588
0.00758515;-0.00108483;-0.000224027;44;46.0416;14.8607
0.00772852;-0.00114425;-0.000242947;45;47.0495;15.2236
0.00787528;-0.00119298;-0.000244207;46;48.0116;15.5984
0.00802192;-0.00121943;-0.000225336;47;49.0194;15.916
0.00815113;-0.00126401;-0.000253579;48;50.0273;16.1784
0.00833003;-0.00130432;-0.000234201;49;51.0353;16.5847
0.00846833;-0.00136999;-0.000242144;50;52.0431;16.8668
0.0086172;-0.00140366;-0.000226911;51;53.0052;17.1509
0.00874276;-0.00145797;-0.000261364;52;54.0131;17.4527
0.00891289;-0.00151575;-0.000228845;53;55.021;17.792
0.00917616;-0.00159051;-0.00022456;54;57.0367;18.4903
0.0093241;-0.00162782;-0.000249792;55;58.0446;18.8395
0.0094758;-0.0016623;-0.000243153;56;59.0066;19.1472
0.00962319;-0.00171285;-0.000252297;57;60.0144;19.5338
0.00977603;-0.00175828;-0.000242716;58;61.0224;19.808
0.00989067;-0.00182083;-0.000239096;59;62.0303;20.1532
0.010063;-0.00185357;-0.000231778;60;63.0381;20.528
0.01018;-0.00190726;-0.000253886;61;64.0459;21.0567
0.0103179;-0.0019327;-0.000215983;62;65.008;21.0725
0.0104769;-0.0019686;-0.000242389;63;66.0159;21.398
0.0105648;-0.00198688;-0.000214961;64;67.0238;21.7353
0.0107323;-0.00205455;-0.000244633;65;68.0317;22.0726
0.010844;-0.00210841;-0.000254469;66;69.0396;22.4178
0.0110018;-0.00214238;-0.000219401;67;70.0475;22.7374
0.0111247;-0.00214783;-0.000244818;68;71.0095;23.0372
0.0112781;-0.00220804;-0.000234456;69;72.0173;23.3114
0.0114148;-0.00223775;-0.000254933;70;73.0252;23.7454
0.0115108;-0.00229358;-0.000238776;71;74.0331;24.059
0.0116598;-0.00234367;-0.000221515;72;75.0411;24.3293
0.0117695;-0.00237028;-0.000257986;73;76.0488;24.6725
0.0119634;-0.00240134;-0.000241073;74;77.0109;25.0099
0.0120894;-0.00243496;-0.000245896;75;78.0188;25.2071
0.0122267;-0.00246219;-0.0002457;76;79.0267;25.578
0.0123286;-0.00250665;-0.000254466;77;80.0346;25.8542
0.0124675;-0.00254426;-0.000255098;78;81.0424;26.1994
0.0126062;-0.00258927;-0.000257883;79;82.0046;26.5071
0.0127498;-0.00262063;-0.00024147;80;83.0124;26.7123
0.0128894;-0.00265162;-0.000231628;81;84.0202;27.1758
0.0130073;-0.00266388;-0.000230867;82;85.0284;27.4934
0.0131413;-0.00270066;-0.000227668;83;86.036;27.7656
0.0132876;-0.00273886;-0.000197159;84;87.0439;28.0694
0.0133851;-0.00277512;-0.000244262;85;88.006;28.3278
0.0135127;-0.00281402;-0.000222344;86;89.0139;28.602
0.0136476;-0.00286524;-0.000268398;87;90.0217;29.0084
0.0137542;-0.00289059;-0.000231372;88;91.0295;29.2747
0.0138961;-0.00293895;-0.000201607;89;92.0375;29.6081
0.0140082;-0.00296863;-0.000223322;90;93.0453;29.9573
0.0141209;-0.00308172;-0.000259685;91;94.0075;30.1407
0.014265;-0.00303309;-0.000189077;92;95.0153;30.553
0.0144057;-0.00306674;-0.000226638;93;96.0232;30.7503
0.0145327;-0.00310552;-0.000249067;94;97.0311;31.0817
0.00012612;0.00462781;-0.00265453;95;98.0389;-0.2871
0.000141889;0.00470147;-0.00263699;96;99.0468;-0.1727
7.61932e-05;0.00474278;-0.00269338;97;100.009;-0.226
6.43945e-05;0.00477942;-0.00264628;98;101.017;-0.2753
6.75045e-05;0.00481461;-0.00270544;99;102.025;-0.1687
5.39866e-05;0.00484842;-0.00269094;100;103.033;-0.2457
2.95671e-05;0.00489913;-0.00268209;101;104.04;-0.3502
4.75909e-05;0.00486012;-0.00268436;102;104.407;-0.2398
