"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;4;10.3079;-0.0603
5.40603e-07;2.85905e-05;-1.10309e-05;5;11.3158;-0.0662
2.67874e-05;-2.48103e-06;-5.28087e-05;6;12.324;-0.1017
9.09692e-06;2.93301e-05;-1.81363e-05;7;13.3316;-0.1904
8.61948e-06;-2.23449e-05;-7.88259e-06;8;14.3394;-0.2457
2.8719e-05;4.60825e-05;2.19065e-05;9;15.3015;-0.0681
2.96836e-05;8.70509e-06;-1.40078e-05;10;16.3094;-0.1194
2.66099e-05;2.24104e-06;-2.00004e-05;11;17.3172;-0.1569
1.9282e-05;3.23221e-05;4.26487e-06;12;18.3251;-0.1648
9.83386e-05;-9.20398e-06;-2.15721e-05;13;19.3329;0.0048
0.000291657;1.72769e-05;2.85044e-05;14;20.3409;0.4428
0.000466994;2.18845e-06;9.954e-06;15;21.3028;0.8452
0.000645387;-5.30345e-05;6.87132e-05;16;22.3107;1.1726
0.000836195;-0.000102155;9.61523e-06;17;23.3187;1.5672
0.00101206;-0.000153421;1.68688e-05;18;24.3266;1.8335
0.001209;-0.000189024;5.32202e-05;19;25.3344;2.2852
0.00137692;-0.000200783;1.06444e-05;20;26.3423;2.5969
0.00155782;-0.00023501;1.06894e-05;21;27.3044;2.9125
0.00172014;-0.000343306;2.05299e-05;22;28.3122;3.2715
0.00188949;-0.00036743;3.26746e-05;23;29.3201;3.6246
0.00206898;-0.000422345;4.51265e-05;24;30.3279;3.9008
0.00223674;-0.000463288;3.61346e-05;25;31.3358;4.3209
0.00240976;-0.000515695;2.1908e-05;26;32.3437;4.6208
0.00258014;-0.00057249;1.34325e-05;27;33.3058;5.039
0.002728;-0.000581202;1.37413e-05;28;34.3137;5.3388
0.00289862;-0.000636671;2.51483e-05;29;35.3215;5.8241
0.00306895;-0.000699379;4.57914e-05;30;36.3294;6.0194
0.00322797;-0.000759311;1.30096e-05;31;37.3373;6.4356
0.00337584;-0.000792754;-1.91563e-05;32;38.3452;6.7275
0.00358229;-0.000847558;3.97667e-05;33;39.3074;7.0451
0.00373576;-0.00087322;2.05722e-05;34;40.3151;7.4771
0.0038987;-0.000929589;2.66656e-06;35;41.3229;7.7868
0.00405862;-0.000980934;1.51926e-05;36;42.3308;8.1577
0.00420585;-0.00103622;2.12239e-05;37;43.3387;8.422
0.00436331;-0.00108708;9.44049e-06;38;44.3008;8.8303
0.00452356;-0.00113554;4.51242e-05;39;45.3087;9.219
0.00469077;-0.00117469;1.39061e-05;40;46.3166;9.3807
0.00483611;-0.00122515;2.79979e-05;41;47.3244;9.7772
0.00499957;-0.00125698;1.39169e-05;42;48.3323;10.0021
0.0051498;-0.00130926;3.81771e-05;43;49.3403;10.5268
0.00530291;-0.00135344;2.4264e-05;44;50.3022;10.7754
0.00546683;-0.00140047;2.26972e-05;45;51.3101;11.1857
0.00560988;-0.0014385;1.5334e-05;46;52.318;11.5013
