"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;0;0;-0.1747
1.58066e-05;1.4349e-05;2.24161e-05;1;1.0079;-0.1569
1.5524e-05;6.12335e-05;-1.83404e-05;2;2.0157;-0.295
0.000433734;0.000419406;2.29827e-05;3;3.0236;-0.0366
0.000630086;0.00033209;6.13728e-06;4;4.0315;0.3461
0.000829927;0.000240062;1.91625e-06;5;5.0394;0.7209
0.00100974;0.000139089;-3.98816e-06;6;6.0014;1.0306
0.00120905;4.43638e-05;-1.39597e-05;7;7.0093;1.3107
0.00139198;-3.54114e-05;-2.55646e-05;8;8.0172;1.654
0.00158768;-0.000105504;-5.41329e-06;9;9.025;2.0998
0.00175623;-0.000197676;-1.86111e-05;10;10.0329;2.4371
0.00191534;-0.000259103;-5.99237e-06;11;11.0408;2.7685
0.00208153;-0.000335652;-1.77501e-05;12;12.0029;3.0545
0.00222596;-0.000415998;-7.12705e-06;13;13.0108;3.3938
0.00241232;-0.000475319;-2.28298e-07;14;14.0186;3.8081
0.00261516;-0.000536436;-2.5218e-05;15;15.0265;4.0132
0.00277642;-0.000632256;-9.04902e-06;16;16.0345;4.4334
0.0029273;-0.000680154;-1.64318e-06;17;17.0423;4.8161
0.00310518;-0.000726976;-6.12824e-06;18;18.0043;5.1258
0.00326077;-0.000795112;-8.74679e-06;19;19.0122;5.4848
0.00343391;-0.000851274;-8.9237e-06;20;20.02;5.7412
0.00362086;-0.000931801;-9.27337e-06;21;21.0279;6.1791
0.00376492;-0.00100342;2.29999e-05;22;22.0358;6.4987
0.00393356;-0.00104413;1.31446e-05;23;23.0437;6.8301
0.00409429;-0.00110124;-2.33958e-06;24;24.0058;7.1063
0.00425769;-0.00116052;1.59612e-05;25;25.0137;7.4949
0.00440907;-0.00122987;1.84207e-05;26;26.0215;7.7809
0.00456123;-0.00127937;1.95194e-05;27;27.0294;7.9762
0.00472187;-0.00135858;-6.64544e-06;28;28.0373;8.3766
0.00490843;-0.00141677;3.96452e-05;29;29.0452;8.7613
0.00503897;-0.00142762;1.73214e-05;30;30.0072;9.0394
0.0051992;-0.00150013;1.84355e-05;31;31.0151;9.4793
0.00534915;-0.00155419;2.74759e-05;32;32.023;9.7989
0.00551504;-0.00161005;4.3936e-05;33;33.0309;10.1461
0.0056551;-0.00166262;2.15029e-05;34;34.0387;10.371
0.00581646;-0.00171189;5.3854e-05;35;35.0008;10.6491
0.00597153;-0.00177548;5.98099e-05;36;36.0086;11.1166
0.0061331;-0.0018125;4.53204e-05;37;37.0165;11.3356
0.00628096;-0.00187066;5.7294e-05;38;38.0244;11.6729
0.00643284;-0.00193408;5.19542e-05;39;39.0323;11.9727
0.00659575;-0.00198487;7.54175e-05;40;40.0402;12.4067
0.00674593;-0.00202348;7.48421e-05;41;41.0022;12.7716
0.00688373;-0.00207527;5.75834e-05;42;42.0101;13.0163
0.00703696;-0.0021358;8.8616e-05;43;43.018;13.3871
0.00718149;-0.00218673;0.000106434;44;44.0259;13.7599
0.00734865;-0.00222192;7.45091e-05;45;45.0337;14.0499
0.00749544;-0.00227933;9.94629e-05;46;46.0416;14.3655
0.00763018;-0.00232294;9.34916e-05;47;47.0037;14.5805
0.00779849;-0.00239006;0.000101059;48;48.0115;14.9869
0.00794733;-0.00242066;7.29336e-05;49;49.0195;15.3597
0.00809573;-0.00246234;0.000119883;50;50.0273;15.6181
0.00823861;-0.00253138;0.000102914;51;51.0352;16.0107
0.00839088;-0.00256726;0.000114474;52;52.043;16.3421
0.00850994;-0.00260463;0.000114012;53;53.0051;16.5196
0.0086591;-0.0026533;0.000136273;54;54.013;16.8708
0.00882494;-0.00272896;0.000103873;55;55.0209;17.2732
0.00895607;-0.00278071;0.00014266;56;56.0289;17.6381
0.00910996;-0.00281146;0.000155128;57;57.0365;17.8255
0.0092521;-0.0028622;0.000157711;58;58.0447;18.224
0.00940302;-0.00290398;0.000160275;59;59.0066;18.5751
0.00954664;-0.00294296;0.000155085;60;60.0145;18.946
0.0096946;-0.00298282;0.000162258;61;61.0223;19.2024
0.00983906;-0.00303761;0.000150664;62;62.0302;19.5338
0.00996845;-0.00306171;0.000170606;63;63.0381;19.8849
0.0100965;-0.0031044;0.000184252;64;64.0001;20.1532
0.0102513;-0.00318699;0.000204637;65;65.008;20.532
0.0103934;-0.00322347;0.000173862;66;66.0159;20.7628
0.010536;-0.0032561;0.000189036;67;67.0238;21.1218
0.0106874;-0.003307;0.000204609;68;68.0317;21.4473
0.0107755;-0.00333841;0.000211626;69;69.0395;21.6998
0.0109326;-0.00339155;0.000190465;70;70.0015;21.9759
0.0110876;-0.00343521;0.000256283;71;71.0094;22.2916
0.0112299;-0.00345777;0.000212571;72;72.0173;22.7433
0.0113581;-0.00350082;0.000254347;73;73.0252;22.9504
0.011504;-0.00352586;0.000229701;74;74.0331;23.3607
0.0116513;-0.00358576;0.000260381;75;75.0409;23.6685
0.0117663;-0.00362467;0.000257835;76;76.003;23.9801
0.0118863;-0.00365831;0.000243712;77;77.0109;24.3214
0.0120491;-0.00370542;0.000247487;78;78.0188;24.5877
0.0121701;-0.0037372;0.000244888;79;79.0267;24.9467
0.0123241;-0.00378437;0.000268217;80;80.0345;25.2702
0.012444;-0.00382954;0.000251799;81;81.0425;25.4813
0.0125705;-0.00386423;0.000283892;82;82.0045;25.8601
0.0127127;-0.00390027;0.00028228;83;83.0123;26.0968
0.0128291;-0.00394332;0.000303169;84;84.0203;26.4617
0.0129721;-0.00397845;0.000280583;85;85.0281;26.7971
0.0131039;-0.00401348;0.000299788;86;86.0359;27.1186
0.013236;-0.00405819;0.000312553;87;87.0438;27.3829
0.0133518;-0.00409486;0.00030815;88;88.0059;27.7045
0.0134919;-0.00412368;0.000313414;89;89.0138;28.03
0.0136307;-0.00416727;0.000322256;90;90.0216;28.245
0.0137615;-0.00419182;0.000334379;91;91.0295;28.6888
0.0138953;-0.00424632;0.00033424;92;92.0374;28.9295
0.0140133;-0.00427533;0.000326328;93;93.0456;29.1642
