"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;6;20.5697;-0.2457
-1.65109e-05;3.60823e-05;6.29638e-05;7;21.5776;-0.2989
-0.000153617;-0.000120009;5.77905e-05;8;22.5857;-0.2536
0.000153629;-7.93435e-05;0.000136817;9;23.5936;0.137
0.000347702;-0.000161185;7.41045e-05;10;24.5554;0.5453
0.000524015;-0.000264728;0.000100645;11;25.5632;0.784
0.000734887;-0.000389694;0.000159219;12;26.5711;1.1943
0.00088864;-0.000359593;0.000173229;13;27.5791;1.4705
0.0010856;-0.000470345;0.000155509;14;28.5869;1.8788
0.00123347;-0.00052583;0.000168427;15;29.5492;2.2655
0.00139986;-0.000590013;0.000198594;16;30.5569;2.6087
0.00156656;-0.000646624;0.000214927;17;31.5647;2.8947
0.00174413;-0.000707154;0.000192939;18;32.5727;3.1788
0.00189886;-0.000755824;0.00019957;19;33.5808;3.5595
0.00207814;-0.000820614;0.000203235;20;34.5884;3.8357
0.00224665;-0.000853494;0.000205879;21;35.5505;4.313
0.00240595;-0.000906292;0.000192695;22;36.5584;4.6425
0.00256993;-0.00098818;0.00020996;23;37.5664;4.9719
0.00271497;-0.00103417;0.000212658;24;38.5743;5.323
0.00287706;-0.00109748;0.000297974;25;39.5822;5.684
0.00302139;-0.00122181;0.00023426;26;40.5901;5.8911
0.00322193;-0.00120691;0.000293366;27;41.5521;6.2521
0.0033802;-0.00122423;0.000259241;28;42.56;6.5875
0.00351921;-0.00131808;0.000194073;29;43.5676;6.8025
0.00370845;-0.00136107;0.000244449;30;44.5754;7.3607
0.00385876;-0.00138669;0.000256862;31;45.5836;7.6665
0.00401332;-0.00144215;0.00024724;32;46.5914;7.9308
0.00415542;-0.00149237;0.000223352;33;47.5536;8.3648
0.00431038;-0.00153262;0.000258466;34;48.5613;8.6745
0.00446199;-0.00160392;0.000228353;35;49.5691;8.9901
0.0046201;-0.00169739;0.000214545;36;50.577;9.3491
0.00477107;-0.00166592;0.000230856;37;51.5847;9.7022
0.00491774;-0.00171813;0.00024857;38;52.5928;10.0218
0.005081;-0.00176121;0.000253441;39;53.5548;10.227
0.00524352;-0.00178636;0.000266959;40;54.5627;10.6846
0.00538668;-0.00187342;0.000283936;41;55.5708;11.014
0.00582308;-0.00200933;0.000316891;42;58.5486;12.0201
0.00597355;-0.00203199;0.000319695;43;59.5563;12.3574
0.00614909;-0.0021327;0.000307707;44;60.5644;12.7144
0.0062759;-0.00214193;0.000261023;45;61.572;12.9926
0.00644546;-0.00219545;0.000325236;46;62.58;13.251
0.0065877;-0.0022198;0.000304717;47;63.5878;13.7047
0.00673629;-0.00228329;0.000356506;48;64.5958;14.0124
0.00687108;-0.0023117;0.000324831;49;65.6035;14.2827
0.00701842;-0.00237965;0.0003333;50;66.5654;14.689
0.0071522;-0.00241791;0.000369465;51;67.5735;14.9238
0.00731631;-0.00249173;0.000307953;52;68.5814;15.2493
0.00743822;-0.00251233;0.00033924;53;69.5895;15.6872
0.00759057;-0.00259437;0.000344321;54;70.5515;16.0166
0.00774164;-0.00260524;0.000314396;55;71.5594;16.2257
0.00788484;-0.00264396;0.000323644;56;72.5672;16.6636
0.00803309;-0.00270643;0.000346045;57;73.5748;16.9911
0.00817344;-0.00274453;0.000336592;58;74.5827;17.3383
0.00831798;-0.00279052;0.000337977;59;75.5907;17.6638
0.00842366;-0.00279623;0.000337975;60;76.5527;17.861
0.00857021;-0.00289971;0.000327735;61;77.5605;18.3443
0.00873602;-0.00289458;0.00034058;62;78.5685;18.6126
0.00888482;-0.00293259;0.000338408;63;79.5764;18.9558
0.00903262;-0.00296978;0.000346488;64;80.5843;19.307
0.00917145;-0.0030346;0.000402111;65;81.5922;19.5733
0.00930197;-0.00309077;0.000371053;66;82.5541;19.9106
0.00946464;-0.00312573;0.000363483;67;83.5621;20.2085
0.00958939;-0.00315254;0.000375416;68;84.5699;20.5971
0.00972395;-0.00320158;0.000364836;69;85.578;20.8969
0.0100048;-0.00325949;0.000448571;70;87.5936;21.5617
0.0101557;-0.00334091;0.000382121;71;88.5555;21.83
0.0102639;-0.00334305;0.000375616;72;89.5637;22.0667
0.0103937;-0.00339864;0.000378358;73;90.5717;22.4947
0.0105422;-0.0034441;0.000410614;74;91.5793;22.694
0.0106614;-0.0034464;0.000392947;75;92.5869;23.1852
0.0107985;-0.00351663;0.000430397;76;93.5492;23.4613
0.0109249;-0.00355406;0.00041037;77;94.5571;23.8322
0.0110577;-0.00356457;0.000372047;78;95.5647;23.9683
0.0112205;-0.00361303;0.000378431;79;96.5729;24.3865
0.0113168;-0.00368541;0.000397609;80;97.5808;24.7021
0.0114545;-0.00367875;0.000415173;81;98.5886;25.0316
0.0116067;-0.00377237;0.000368035;82;99.5509;25.3452
0.0117345;-0.00377253;0.000444442;83;100.559;25.6608
0.0118615;-0.00378524;0.000388578;84;101.566;25.9271
0.0120258;-0.00386625;0.000422896;85;102.574;26.2447
0.0121297;-0.0038855;0.00041597;86;103.582;26.5446
0.0122458;-0.00396244;0.000502932;87;104.59;26.9391
0.0123821;-0.00397391;0.000415135;88;105.552;27.1383
0.0125217;-0.00397935;0.000434143;89;106.56;27.5526
0.0126377;-0.00401566;0.000464608;90;107.568;27.7952
0.0127671;-0.00402877;0.000458176;91;108.576;28.1819
0.0129096;-0.00406642;0.000452617;92;109.584;28.4186
0.0130206;-0.00410174;0.000465579;93;110.592;28.825
0.0131344;-0.00418804;0.00040146;94;111.599;29.0439
0.0132654;-0.00420981;0.000504697;95;112.562;29.4246
0.00139009;-0.0013974;0.00401231;96;113.569;-0.0247
0.00143019;-0.0015888;0.0041798;97;114.577;-0.0169
0.00141289;-0.00171397;0.0041599;98;115.585;0.0601
0.00136629;-0.00170872;0.00427617;99;116.593;-0.005
0.00140214;-0.00167637;0.00419739;100;117.601;-0.0583
0.00140429;-0.00170847;0.0042078;101;118.563;0.0502
0.00140569;-0.00173728;0.00421862;102;119.066;0.0502
