"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;9;26.617;-0.2181
1.07946e-06;1.92964e-05;5.06184e-05;10;27.6251;-0.1569
3.64053e-05;8.26157e-05;7.42407e-05;11;28.6328;-0.293
-0.000456862;-0.000609016;-0.000208104;12;29.6409;-0.1806
-7.79484e-05;-0.000438682;-8.42948e-05;13;30.6485;0.1982
0.000117868;-0.000486461;-9.85317e-05;14;31.6107;0.3777
0.000265001;-0.000487964;-9.24088e-05;15;32.6189;0.7643
0.000448003;-0.00050992;-8.41952e-05;16;33.6266;1.1312
0.000612696;-0.000581209;-0.00011456;17;34.6346;1.3758
0.000792293;-0.000603822;-9.73818e-05;18;35.6423;1.6954
0.000933263;-0.000712268;-8.5154e-05;19;36.6502;2.0031
0.00111611;-0.000660503;-0.000126588;20;37.6124;2.3799
0.00125395;-0.000723185;-6.6096e-05;21;38.6202;2.6639
0.00145218;-0.000744347;-0.00011898;22;39.628;3.0289
0.00161333;-0.000781967;-0.00010812;23;40.6359;3.3544
0.00175189;-0.000850492;-0.0001004;24;41.6436;3.7134
0.00191373;-0.000871701;-8.98864e-05;25;42.6517;3.9481
0.00209195;-0.000913698;-9.94491e-05;26;43.6136;4.3683
0.00225817;-0.000969673;-0.000116462;27;44.6216;4.4985
0.00243054;-0.000985574;-0.000103508;28;45.6293;4.8378
0.00259014;-0.00103746;-8.09855e-05;29;46.6376;5.3132
0.00273032;-0.00108232;-8.20217e-05;30;47.6452;5.5479
0.00290292;-0.0011187;-0.00011263;31;48.6531;5.8754
0.00305012;-0.00119366;-8.9813e-05;32;49.6152;6.2423
0.00319977;-0.00124427;-0.000141937;33;50.6228;6.4908
0.00337418;-0.00127525;-8.77153e-05;34;51.6309;6.8222
0.00354139;-0.00135153;-0.000125376;35;52.639;7.2522
0.00368879;-0.00137029;-0.000110839;36;53.6467;7.4929
0.00382965;-0.00142324;-0.00012827;37;54.6545;7.9446
0.00399764;-0.00146391;-0.000120444;38;55.6166;8.0492
0.00414611;-0.00156065;-8.35621e-05;39;56.6245;8.4891
0.00429157;-0.00156331;-7.6198e-05;40;57.6325;8.708
0.00478019;-0.00170739;-6.72835e-05;41;60.6101;9.6746
0.00491888;-0.0017672;-9.38625e-05;42;61.6179;9.9587
0.00501885;-0.00179957;-4.57513e-05;43;62.6261;10.3512
0.00519309;-0.00184847;-8.75623e-05;44;63.6338;10.73
0.00537648;-0.00187514;-0.00012373;45;64.6417;11.0239
0.00549631;-0.00196258;-7.32101e-05;46;65.6497;11.2803
0.00565842;-0.0019534;-4.29386e-05;47;66.6574;11.7439
0.00579352;-0.00202223;-8.57856e-05;48;67.6195;11.9451
0.00595195;-0.0020547;-9.8832e-05;49;68.6275;12.2982
0.00607572;-0.00211902;-0.000105943;50;69.6354;12.673
0.00624503;-0.0021579;-7.935e-05;51;70.643;12.9906
0.00639604;-0.00221657;-0.000104398;52;71.651;13.2411
0.00652325;-0.00223997;-8.24859e-05;53;72.6589;13.5903
0.00667006;-0.00230095;-7.0031e-05;54;73.621;13.8842
0.00684231;-0.00231801;-7.63621e-05;55;74.629;14.0953
0.00695382;-0.00235677;-6.49853e-05;56;75.6368;14.4425
0.00713378;-0.0023968;-6.35025e-05;57;76.6447;14.7561
0.00724783;-0.00241508;-9.08856e-06;58;77.6067;15.1566
0.00740289;-0.00248282;-3.09886e-05;59;78.6145;15.3321
0.00753349;-0.00248119;5.11441e-06;60;79.6224;15.7602
0.00784921;-0.00261774;-4.38141e-05;61;81.6384;16.5196
0.00798745;-0.00264494;-9.2483e-06;62;82.6462;16.7781
0.00810516;-0.00275322;-3.57429e-05;63;83.608;16.9378
0.00824806;-0.00277148;-4.06234e-05;64;84.6618;17.2594
0.0086939;-0.00288198;-5.64536e-05;65;87.6396;18.2792
0.00896248;-0.00295394;-5.08758e-05;66;89.6553;18.7941
0.00911157;-0.00297226;-6.43753e-05;67;90.6175;19.2024
0.00924111;-0.00300921;-2.53367e-05;68;91.6253;19.5299
0.00936511;-0.00309134;-2.28109e-06;69;92.6329;19.8041
0.00949908;-0.00311642;-3.93079e-07;70;93.6411;20.0191
0.00963096;-0.00316499;9.58093e-06;71;94.649;20.4393
0.00975935;-0.00319255;4.8616e-05;72;95.6109;20.6661
0.00990788;-0.0032229;1.30576e-05;73;96.6189;20.9068
0.010079;-0.00325823;6.42326e-06;74;97.6268;21.2658
