,Time [s],Load [N],Displacement [mm]
0,0.0078125,-257.58168248518564,0.0018945335999999999
1,0.012695313,-256.0179546639216,-0.00089228153
2,0.017578125,-254.81238430122482,-0.0001385808
3,0.022460938,-249.064757103876,-0.0012356042999999998
4,0.02734375,-246.2528716463168,-0.0014349818
5,0.032226563,-245.3765764393384,-0.0022248923999999997
6,0.037109375,-250.753969256476,-0.001539588
7,0.041992188,-250.31507212764723,-0.001014322
8,0.046875,-248.930198400476,0.001180619
9,0.051757813,-247.79355323147118,0.0010974705
10,0.056640625,-246.21046674980403,0.0014595686999999999
11,0.061523438,-244.39804775532724,0.0016522408
12,0.06640625,-245.70605621325038,0.0020603836
13,0.071289063,-248.2573248154872,0.0019209087
14,0.076171875,-252.84385496969603,0.0010930002
15,0.081054688,-263.0533820484648,0.0032271445
16,0.0859375,-253.3115810227144,0.0025454164
17,0.09082031300000001,-250.91120054537117,0.0033116340999999995
18,0.095703125,-259.14623767566724,0.0037899613
19,0.10058594,-247.83614495329118,0.0044363737
20,0.10546875,-258.67771983920403,0.0031761825
21,0.11035156,-254.37535987368963,0.0044234096999999995
22,0.11523438,-253.6581820015648,0.0050997734
23,0.12011719,-255.83126725159119,0.0042334199
24,0.125,-258.72377227742885,0.004285275900000001
25,0.12988281,-249.5049264240824,0.0059214234
26,0.13476563,-263.1343886120224,0.0059084594
27,0.13964844,-242.36702535854,0.0042875110999999995
28,0.14453125,-243.86536877050563,0.005210638
29,0.14941406,-254.17735173738723,0.0044386089
30,0.15429688,-254.4914406645632,0.0052674115
31,0.15917969,-242.84149936372563,0.0063143671
32,0.1640625,-244.8139342338192,0.006749331999999999
33,0.16894531,-256.6280949796856,0.0048843026
34,0.17382813,-258.6486862968208,0.0051118433
35,0.17871094,-261.350633957536,0.0044162571
36,0.18359375,-253.08048256592963,0.005566924799999999
37,0.18847656,-244.44087968111359,0.0042870641
38,0.19335938,-235.180967845956,0.0051896274
39,0.19824219,-247.33898056972401,0.0044752657
40,0.203125,-248.78453693596242,0.0045374036
41,0.20800781,-242.61532508825198,0.0071570277000000005
42,0.21289063,-240.6342384271464,0.005932599300000001
43,0.21777344,-229.4850245353776,0.0083081424
44,0.22265625,-244.72310154874722,0.005921870500000001
45,0.22753906,-227.52638804868718,0.0077475606999999995
46,0.23242188,-227.0487380132792,0.0082884729
47,0.23730469,-224.2611353974344,0.007192790500000001
