,Time [s],Chan,Load [N],E [eu]
0,8.776504800000001,2.0,1451.25,140.5
1,12.0880234,1.0,2808.75,487.1
2,12.0880787,2.0,2808.75,185.6
3,13.4257793,2.0,3420.0,129.5
4,18.235969100000002,1.0,5377.5,93.7
5,22.3534212,1.0,7053.75,3764.7
6,22.3534949,2.0,7053.75,1403.3
7,22.357223100000002,1.0,7053.75,383.8
8,22.3572655,2.0,7053.75,88.6
9,22.5967149,2.0,7141.875,996.1
10,22.5967437,1.0,7141.875,316.3
11,22.762558,2.0,7215.0,101.9
12,23.164130800000002,1.0,7385.625,2574313.3
13,23.1641526,2.0,7385.625,595841.4
14,23.9541659,1.0,7695.0,878.4
15,23.9541947,2.0,7695.0,317.8
16,23.9931635,1.0,7704.375,134.3
17,24.017458,1.0,7728.75,337.6
18,24.7526741,1.0,8015.625,200.5
19,24.7937639,1.0,8019.375,434.4
20,24.7937926,2.0,8019.375,189.4
21,25.221877399999997,1.0,8201.25,56.4
22,25.6598565,2.0,8351.25,297.9
23,25.6840872,1.0,8334.375,737.5
24,25.684115600000002,2.0,8334.375,319.2
25,25.8445343,2.0,8441.25,129.6
26,26.7596002,1.0,8810.625,145.2
27,26.7959767,1.0,8816.25,1229.2
28,26.796009499999997,2.0,8816.25,376.1
29,27.152320500000002,2.0,8970.0,95.5
30,27.5644592,1.0,9123.75,450.6
31,27.564486600000002,2.0,9123.75,190.0
32,28.0611059,1.0,9296.25,110.7
33,28.5147906,1.0,9496.875,1203.7
34,28.5148233,2.0,9496.875,377.3
35,28.674052000000003,1.0,9547.5,81.7
36,29.0376432,1.0,9708.75,477.3
37,29.0376719,2.0,9708.75,162.0
38,29.4265909,2.0,9870.0,181.9
39,29.4266247,1.0,9870.0,72.3
40,29.5039553,1.0,9868.125,139.6
41,30.0406044,2.0,10096.875,55.9
42,30.4544044,1.0,10269.375,918.2
43,30.4544314,2.0,10269.375,410.4
44,30.99648,1.0,10485.0,83.6
45,32.0286624,1.0,10891.875,466.7
46,32.0286907,2.0,10891.875,280.9
47,32.537967200000004,1.0,11100.0,62.7
48,32.551480100000006,1.0,11105.625,52.0
49,33.1030426,2.0,11321.25,101.0
50,33.1198689,1.0,11326.875,24345.0
51,33.119891,2.0,11326.875,15190.6
52,33.3552109,1.0,11411.25,44.3
53,33.9503685,1.0,11655.0,3698.4
54,33.950392,2.0,11655.0,1336.0
55,34.2002261,2.0,11743.125,448.5
56,34.200256,1.0,11743.125,58.8
57,34.2904211,1.0,11765.625,318.6
58,34.2922739,1.0,11765.625,63.2
59,34.3651015,1.0,11805.0,96.2
60,34.4796881,2.0,11833.125,42.3
61,34.5488626,1.0,11880.0,36.8
62,34.578182700000006,1.0,11881.875,1578.7
63,34.5782067,2.0,11881.875,707.8
64,34.7289064,2.0,11947.5,95.8
65,34.9665643,1.0,12026.25,56.4
66,35.20738439999999,2.0,12125.625,310.5
67,35.3212365,2.0,12183.75,96.7
68,35.582004,2.0,12255.0,172.2
69,35.7802006,1.0,12365.625,445.3
