,Time [s],Chan,Load [N],E [eu]
0,6.0182889,2.0,-258.75,288.1
1,11.7524949,1.0,-196.875,195.8
2,15.3134544,2.0,755.625,6078.0
3,15.3134827,1.0,755.625,1403.6
4,28.7334977,1.0,6080.625,87.3
5,29.1613997,2.0,6245.625,328.0
6,31.232533,1.0,7031.25,56.9
7,34.415425799999994,1.0,8272.5,39.3
8,37.8671385,2.0,9575.625,59.7
9,38.37114129999999,1.0,9763.125,273.8
10,38.371178,2.0,9763.125,89.3
11,38.5033277,1.0,9785.625,87.0
12,38.9145278,1.0,9958.125,138.2
13,39.093433000000005,1.0,10027.5,56.8
14,39.6611528,2.0,10246.875,41.7
15,39.9531677,2.0,10363.125,209.3
16,40.5928698,1.0,10563.75,96.6
17,40.6398902,2.0,10618.125,159.5
18,40.833102200000006,2.0,10698.75,190.8
19,40.8331355,1.0,10698.75,44.8
20,41.3587926,1.0,10893.75,443.9
21,41.358830600000005,2.0,10893.75,136.3
22,41.617526899999994,2.0,10951.875,278.5
23,41.8971869,1.0,11083.125,77.6
24,42.8405778,1.0,11435.625,93.9
25,42.9295441,1.0,11482.5,93.3
26,43.1822563,1.0,11565.0,158.5
27,43.1822907,2.0,11565.0,101.1
28,43.9622234,1.0,11857.5,3553.1
29,43.9622517,2.0,11857.5,929.0
30,44.0773035,1.0,11908.125,46.7
31,44.101562,1.0,11878.125,53.9
32,44.344156899999994,2.0,12015.0,149.0
33,44.8304641,2.0,12178.125,232.7
34,45.4896105,1.0,12427.5,194.7
35,45.905235600000005,2.0,12585.0,12620.7
36,45.9052596,1.0,12585.0,2548.1
37,45.9991485,2.0,12592.5,160.7
38,46.2394093,2.0,12690.0,1092.9
39,46.2394381,1.0,12690.0,210.8
40,46.2426993,2.0,12678.75,347.3
41,46.4737388,2.0,12793.125,1807.4
42,46.4737648,1.0,12793.125,368.3
43,46.5638864,2.0,12819.375,1345.0
44,46.5639151,1.0,12819.375,262.4
45,46.9232681,2.0,12958.125,96.8
46,47.041243200000004,2.0,12997.5,120.7
47,47.1279519,2.0,12995.625,55.4
48,47.1306583,2.0,13018.125,90.5
49,47.165927,1.0,13048.125,229.2
50,47.8272919,2.0,13258.125,220.1
51,48.4916899,2.0,13516.875,91.2
52,48.6299113,1.0,13580.625,55.9
53,48.7458045,2.0,13627.5,657.1
54,48.7458338,1.0,13627.5,202.3
55,48.8248526,2.0,13636.875,60.9
56,49.0730268,1.0,13738.125,110.1
57,49.2567107,2.0,13813.125,93.2
58,49.2928488,2.0,13822.5,40.5
59,49.3767935,1.0,13846.875,398.2
60,49.5034002,1.0,13878.75,51.7
61,49.5661967,1.0,13936.875,42.2
62,49.64974779999999,2.0,13950.0,71.6
63,49.7568787,1.0,13993.125,114.1
64,50.0319164,2.0,14105.625,208.4
65,50.059131,2.0,14103.75,360.4
66,50.5594013,2.0,14285.625,112.7
67,50.649143200000005,2.0,14296.875,84.7
68,50.7676652,2.0,14356.875,207.8
69,50.8608022,2.0,14407.5,288.3
70,51.0733129,2.0,14454.375,292.1
71,51.07334229999999,1.0,14454.375,136.9
72,51.166248700000004,1.0,14510.625,120.1
73,51.2308028,1.0,14529.375,410.7
74,51.2308376,2.0,14529.375,138.7
75,51.358144700000004,2.0,14568.75,168.4
76,51.3874662,2.0,14570.625,131.3
77,51.387503499999994,1.0,14570.625,45.0
78,51.4643953,1.0,14615.625,92.5
79,51.9571405,2.0,14799.375,37.6
80,52.220502200000006,2.0,14848.125,3810.4
81,52.2205278,1.0,14848.125,780.3
82,52.251966,1.0,14904.375,36.3
83,52.2977081,2.0,14910.0,281.5
84,52.2977372,1.0,14910.0,178.6
85,52.524598600000004,2.0,15003.75,139.9
86,52.8353863,1.0,15116.25,429.6
87,52.8669547,2.0,15125.625,1278087.6
88,52.8669769,1.0,15125.625,327495.8
89,52.870808200000006,2.0,15125.625,46.3
90,52.9776781,1.0,15165.0,72.9
91,53.0610179,2.0,15181.875,263932.2
92,53.0610403,1.0,15181.875,97319.0
93,53.062113100000005,1.0,15181.875,142.6
94,53.106338,2.0,15208.125,711.4
95,53.1063668,1.0,15208.125,207.1
96,53.29577389999999,2.0,15281.25,55.9
97,53.4636284,2.0,15333.75,61.0
98,53.4694066,2.0,15333.75,227.7
99,53.5622416,2.0,15391.875,85.4
100,53.57365179999999,2.0,15386.25,75.5
101,53.598130299999994,2.0,15360.0,150.1
102,53.681096200000006,1.0,15420.0,111.8
103,54.2621778,2.0,15643.125,280.3
104,54.633009200000004,2.0,15774.375,229.8
105,54.6693713,2.0,15787.5,446.1
106,54.669400100000004,1.0,15787.5,216.8
107,54.73437929999999,2.0,15796.875,345.3
108,54.7805683,2.0,15819.375,271.1
109,54.7805977,1.0,15819.375,126.6
110,54.78341,2.0,15819.375,83868.4
111,54.7834325,1.0,15819.375,39571.9
112,54.7852548,1.0,15819.375,81.7
113,55.0089749,2.0,15903.75,163.3
114,55.1782796,1.0,15963.75,128.0
115,55.2405565,1.0,16006.875,81.3
116,55.2411146,1.0,16006.875,83.0
117,55.32559870000001,2.0,16008.75,266.4
118,55.325628,1.0,16008.75,94.2
119,55.3355335,2.0,16025.625,146.3
120,55.3606443,2.0,16042.5,44.8
121,55.558187,1.0,16119.375,168.2
122,55.558223100000006,2.0,16119.375,79.0
123,55.7442213,2.0,16179.375,36.5
124,55.9281879,2.0,16241.25,100.0
125,56.0257169,2.0,16256.25,96.0
126,56.0770504,2.0,16303.125,150.7
127,56.077085200000006,1.0,16303.125,115.3
128,56.0953275,1.0,16295.625,45.5
