,Time [s],Chan,Load [N],E [eu]
0,7.930886200000001,2.0,2060.625,141.8
1,12.9692009,2.0,4095.0,328.7
2,14.3020446,2.0,4616.25,355.6
3,15.085014600000001,2.0,4970.625,1537.1
4,15.0850889,1.0,4970.625,184.2
5,16.074598899999998,2.0,5358.75,1891.7
6,16.074673999999998,1.0,5358.75,230.0
7,16.9064141,2.0,5700.0,1347.2
8,16.906488600000003,1.0,5700.0,148.1
9,17.1653675,1.0,5788.125,96.5
10,17.612980800000003,2.0,5981.25,205.9
11,17.8827848,2.0,6088.125,206.4
12,17.884313100000004,2.0,6088.125,238.5
13,18.7198798,2.0,6401.25,89.5
14,18.8499653,2.0,6455.625,286.8
15,19.222167000000002,2.0,6611.25,74.2
16,19.5147546,2.0,6720.0,368.6
17,19.9614371,2.0,6883.125,55.6
18,20.606695499999997,1.0,7166.25,147.5
19,21.3054005,2.0,7447.5,179.4
20,21.5192727,2.0,7509.375,97.1
21,21.8256896,2.0,7648.125,162.7
22,21.8823492,2.0,7665.0,100.4
23,22.015695899999997,2.0,7726.875,251.5
24,22.5323466,2.0,7925.625,706.7
25,23.4359206,2.0,8281.875,269.3
26,24.2234842,2.0,8572.5,404.3
27,25.223615399999996,2.0,8975.625,194.1
28,25.6490742,2.0,9133.125,390.7
29,25.6778845,1.0,9133.125,67.2
30,26.2409325,2.0,9367.5,61.0
31,26.3097031,2.0,9386.25,59.2
32,26.3387143,1.0,9393.75,154.9
33,26.7776024,1.0,9556.875,191.2
34,26.7926596,1.0,9579.375,359.7
35,26.8264466,1.0,9590.625,286.0
36,26.905170799999997,2.0,9590.625,425.5
37,27.447143,2.0,9813.75,401.1
38,27.666213399999997,1.0,9898.125,573.3
39,27.6662457,2.0,9898.125,325.0
40,27.7157456,2.0,9922.5,48.1
41,28.8180255,2.0,10353.75,621.7
42,28.9380474,2.0,10395.0,364.5
43,29.0978043,1.0,10458.75,452.6
44,29.100886,2.0,10462.5,1044.4
45,29.104815600000002,1.0,10462.5,1124.6
46,29.120390899999997,2.0,10471.875,2765.9
47,29.120419399999996,1.0,10471.875,227.2
48,29.1319999,1.0,10475.625,171.1
49,29.527537300000002,1.0,10633.125,212.2
50,30.1743386,2.0,10841.25,829.9
51,30.1743901,1.0,10841.25,57.1
52,30.2111626,2.0,10891.875,61.4
53,31.3203308,2.0,11315.625,248.8
54,31.3643844,2.0,11326.875,222.7
55,31.5557067,2.0,11366.25,203.5
56,31.635958600000002,1.0,11424.375,60.5
57,31.9115017,1.0,11538.75,93.9
58,32.0266326,1.0,11576.25,26.3
59,32.644653000000005,2.0,11814.375,99.7
60,32.8354386,2.0,11885.625,2757.7
61,32.835467,1.0,11885.625,290.6
62,33.146086600000004,2.0,12000.0,65.6
63,33.1703568,1.0,12013.125,40.5
64,33.1882007,1.0,12015.0,341.7
65,33.1882478,2.0,12015.0,96.8
66,33.2470376,1.0,12030.0,38.6
67,33.4135087,1.0,12099.375,35.8
68,33.574791,1.0,12138.75,475.9
69,33.5748638,2.0,12138.75,86.0
70,33.62526679999999,1.0,12200.625,463.2
71,34.0191885,2.0,12331.875,821.8
72,34.303132899999994,2.0,12442.5,200.3
73,34.333195,2.0,12459.375,1143.8
74,34.3332232,1.0,12459.375,301.6
75,34.50563,2.0,12515.625,161.9
76,34.5401185,2.0,12510.0,171.7
77,34.584981299999995,2.0,12525.0,217.4
78,34.7305565,2.0,12605.625,57.7
79,34.7350784,1.0,12605.625,29.2
80,34.74862460000001,2.0,12607.5,73.2
81,35.0398928,2.0,12721.875,190.5
82,35.039930299999995,1.0,12721.875,87.6
83,35.080147499999995,2.0,12718.125,208.8
84,35.31940720000001,2.0,12825.0,276.9
85,35.365390500000004,2.0,12819.375,214.8
86,35.5413831,2.0,12900.0,135.3
87,35.542874100000006,2.0,12900.0,89.6
88,35.6686971,1.0,12928.125,43.4
89,35.7150834,1.0,12978.75,763.7
90,35.7151309,2.0,12978.75,174.0
91,35.935095000000004,1.0,13048.125,64.7
92,35.96635759999999,1.0,13027.5,268.1
93,36.0659578,1.0,13089.375,91.8
94,36.2145884,2.0,13155.0,1735.7
95,36.298508700000006,1.0,13190.625,25.5
96,36.4536686,2.0,13245.0,183.8
97,36.4790416,2.0,13258.125,132.3
98,36.4930856,2.0,13258.125,557.0
99,36.5024308,1.0,13260.0,24.6
100,36.5078206,1.0,13260.0,499.1
101,36.5078504,2.0,13260.0,183.2
102,36.8061826,2.0,13355.625,79.4
103,37.3199812,2.0,13590.0,57.1
104,37.4677333,1.0,13627.5,42.8
105,37.8423719,1.0,13771.875,55.7
106,37.866530700000006,2.0,13777.5,85.2
107,38.162166799999994,2.0,13886.25,2370.9
108,38.1621916,1.0,13886.25,1105.2
109,38.2367228,2.0,13908.75,3878.5
110,38.236751,1.0,13908.75,190.9
111,38.3751544,1.0,13925.625,246.3
112,38.5528348,2.0,14040.0,238.1
113,38.5637593,2.0,14034.375,85.1
114,38.6703381,2.0,14053.125,224.3
115,38.7008999,2.0,14100.0,42.4
116,38.8498676,1.0,14148.75,161.5
117,38.9588594,2.0,14184.375,193.9
118,38.9588883,1.0,14184.375,182.8
119,39.1826593,2.0,14270.625,61.0
120,39.2287781,2.0,14270.625,3147.0
121,39.2288061,1.0,14270.625,425.9
122,39.3346803,2.0,14321.25,266.5
123,39.3347141,1.0,14321.25,109.3
124,39.5702002,1.0,14420.625,29.8
125,39.611816,2.0,14430.0,139.7
126,39.7063229,2.0,14471.25,85.9
127,39.804759600000004,1.0,14478.75,259.6
128,39.8322395,2.0,14523.75,275.2
129,39.84442670000001,1.0,14529.375,174.0
130,39.9030022,1.0,14542.5,383.3
131,39.9030456,2.0,14542.5,82.3
132,40.0252582,2.0,14598.75,4952.7
133,40.025286,1.0,14598.75,719.6
134,40.156978499999994,1.0,14643.75,123.4
135,40.2770706,2.0,14668.125,35.5
136,40.434543100000006,2.0,14750.625,37.9
137,40.4916648,1.0,14754.375,207.4
138,40.4916919,2.0,14754.375,170.9
139,40.5326768,1.0,14788.125,5240.4
140,40.532699,2.0,14788.125,2128.8
141,40.8049662,1.0,14887.5,25.5
142,40.813307200000004,2.0,14885.625,828.0
143,41.09097620000001,1.0,14985.0,46.6
144,41.1643579,2.0,15018.75,340.6
145,41.3927975,2.0,15106.875,82.6
146,41.4288178,2.0,15125.625,3456.2
147,41.4288461,1.0,15125.625,172.1
148,41.433891,1.0,15125.625,84.8
149,41.4993534,2.0,15118.125,469.0
150,41.5839516,2.0,15166.875,464.5
151,41.583985,1.0,15166.875,63.1
152,41.7635344,2.0,15225.0,196.6
153,42.2612741,1.0,15423.75,52.4
154,42.2859678,2.0,15440.625,6138.3
155,42.2859969,1.0,15440.625,358.3
156,42.336245700000006,1.0,15451.875,57.7
157,42.37481079999999,1.0,15466.875,214.5
158,42.4633943,2.0,15472.5,150.7
159,42.52250170000001,2.0,15523.125,293.6
160,42.6973702,2.0,15592.5,164.1
161,42.7069223,1.0,15598.125,189.3
162,42.7348112,1.0,15605.625,101.3
163,42.747147,1.0,15609.375,125.2
164,42.964988700000006,2.0,15686.25,111.1
165,42.9725414,1.0,15688.125,81.6
166,43.040538,1.0,15718.125,743.6
167,43.162793900000004,2.0,15746.25,53.7
168,43.299566600000006,1.0,15810.0,261.6
169,43.327155700000006,1.0,15811.875,74.3
170,43.6000096,2.0,15885.0,176.5
171,43.6264894,1.0,15901.875,46.8
172,43.681598,1.0,15958.125,28.2
173,43.683172799999994,2.0,15958.125,506.6
174,43.7475539,2.0,15971.25,619.6
175,43.7499221,1.0,15971.25,103.7
176,43.7610745,1.0,15963.75,35.5
177,43.957004299999994,2.0,16050.0,136.1
178,44.0382628,1.0,16065.0,169.5
179,44.1406633,1.0,16125.0,381.1
180,44.140710600000006,2.0,16125.0,85.7
181,44.169630100000006,2.0,16110.0,1066.7
182,44.3167092,2.0,16181.25,86.8
183,44.403915600000005,2.0,16230.0,395.9
184,44.4106888,2.0,16231.875,262.6
185,44.6109881,1.0,16297.5,222.1
186,44.663089,1.0,16308.75,114.6
187,44.8572352,1.0,16365.0,104.0
188,44.8716329,1.0,16344.375,52.3
189,45.1182998,1.0,16488.75,68.0
190,45.119257,1.0,16488.75,99.3
191,45.1192808,2.0,16488.75,98.6
192,45.14428770000001,1.0,16498.125,103.9
193,45.1482277,2.0,16498.125,208.0
194,45.1720537,1.0,16455.0,171.6
195,45.2063454,2.0,16507.5,1780.0
196,45.2242239,2.0,16528.125,281.6
197,45.2284109,1.0,16528.125,86.1
198,45.255605100000004,1.0,16537.5,63.3
199,45.364019,1.0,16573.125,112.1
200,45.3775413,1.0,16588.125,62.5
201,45.4732169,2.0,16610.625,1853.0
202,45.4732407,1.0,16610.625,821.0
203,45.503069399999994,1.0,16631.25,41.6
204,45.531188,1.0,16646.25,30.3
205,45.539528600000004,2.0,16646.25,119.5
206,45.5607455,2.0,16629.375,58.6
207,45.6172769,1.0,16666.875,50.1
208,45.632428000000004,2.0,16683.75,330.6
209,45.6951052,1.0,16704.375,91.4
210,45.725703100000004,1.0,16710.0,815.2
211,45.7257311,2.0,16710.0,276.6
212,45.7299839,1.0,16710.0,96.6
213,45.85189329999999,1.0,16749.375,290.3
214,45.89444520000001,1.0,16758.75,232.3
215,45.929699,2.0,16783.125,53.7
216,45.9323794,1.0,16783.125,264.0
217,45.986304700000005,2.0,16794.375,1981.6
218,45.9863509,1.0,16794.375,134.1
219,46.0532917,2.0,16830.0,43.9
220,46.09542020000001,2.0,16852.5,792.7
221,46.1203309,2.0,16854.375,96.4
222,46.125439,2.0,16854.375,56.5
223,46.1549068,2.0,16846.875,72.0
224,46.183668100000006,1.0,16861.875,234.5
225,46.3739035,1.0,16951.875,212.9
226,46.3865628,1.0,16959.375,206.4
227,46.444152,1.0,16957.5,61.6
228,46.452487,1.0,16957.5,37.7
229,46.47645479999999,2.0,16972.5,74.6
230,46.5468626,2.0,17010.0,138.2
231,46.5691919,1.0,17002.5,49.3
232,46.5723866,1.0,16996.875,29645.3
