,Time [s],Chan,Load [N],E [eu]
0,2.4642839,2.0,-298.125,316.5
1,2.4647652,2.0,-298.125,69.0
2,5.186046,2.0,-330.0,143.9
3,13.9953169,2.0,-315.0,1302.5
4,13.9953539,1.0,-315.0,118.0
5,21.4234365,2.0,1299.375,336.5
6,22.1602364,2.0,1597.5,1286.9
7,22.1603198,1.0,1597.5,118.4
8,25.053564,2.0,2825.625,326.4
9,25.388416699999997,2.0,2971.875,88.7
10,26.4971575,2.0,3429.375,398.5
11,34.6492997,2.0,6718.125,96.6
12,34.7180101,2.0,6778.125,80.5
13,35.2129355,2.0,6954.375,88.5
14,35.7805584,1.0,7149.375,453.0
15,39.0264973,2.0,8448.75,6185.1
16,39.026582700000006,1.0,8448.75,154.3
17,39.6779991,2.0,8730.0,105.3
18,40.646955600000005,2.0,9103.125,125.7
19,41.25504829999999,2.0,9333.75,140.6
20,41.5520737,2.0,9442.5,1165.0
21,41.5521099,1.0,9442.5,277.4
22,42.053215,2.0,9646.875,1137.8
23,42.621696,1.0,9888.75,996.1
24,43.9295525,1.0,10393.125,152.2
25,43.98915,1.0,10408.125,72.3
26,44.2251847,1.0,10498.125,38.6
27,44.651663799999994,1.0,10661.25,67.4
28,44.702358200000006,1.0,10689.375,60.3
29,44.9628905,1.0,10760.625,51.2
30,44.981922600000004,1.0,10788.75,62.6
31,45.2788655,2.0,10906.875,175.4
32,45.500962,1.0,10998.75,43.5
33,45.6094753,2.0,11053.125,6367.1
34,45.6095088,1.0,11053.125,574.8
35,45.8096578,2.0,11120.625,8339.6
36,45.8096849,1.0,11120.625,744.7
37,45.9623274,1.0,11175.0,271.3
38,45.9623622,2.0,11175.0,86.0
39,46.034738700000005,1.0,11206.875,96.4
40,46.0475753,1.0,11220.0,72.9
41,46.1497541,1.0,11248.125,51.5
42,46.1582375,2.0,11255.625,636.3
43,46.2430974,1.0,11266.875,1730.8
44,46.243132700000004,2.0,11266.875,68.0
45,46.4086519,2.0,11336.25,325.7
46,46.4086871,1.0,11336.25,82.6
47,46.514478100000005,2.0,11396.25,3959.5
48,46.5145115,1.0,11396.25,325.0
49,46.5381158,2.0,11388.75,137.1
50,47.0586153,1.0,11574.375,7874.4
51,47.4431648,2.0,11741.25,1335.4
52,48.0657845,2.0,11985.0,227.3
53,48.2941588,2.0,12082.5,77263.9
54,48.294244,1.0,12082.5,2114.9
55,48.29501810000001,2.0,12082.5,1658.1
56,48.295657500000004,2.0,12082.5,101.2
57,48.5858255,1.0,12189.375,53.8
58,48.9463435,1.0,12300.0,59.9
59,49.1485332,2.0,12405.0,265.8
60,49.2568141,1.0,12440.625,49.5
61,49.5245029,2.0,12541.875,198.1
62,49.7383153,2.0,12635.625,144.8
63,50.016089,2.0,12746.25,140.9
64,50.0279941,1.0,12748.125,90.3
65,50.237570500000004,2.0,12810.0,133181.2
66,50.2375922,1.0,12810.0,16746.6
67,50.2900952,2.0,12849.375,1167.4
68,50.2901315,1.0,12849.375,115.7
69,50.401189,2.0,12886.875,85.0
70,50.4188408,2.0,12886.875,172.2
71,50.4232433,2.0,12898.125,365.4
72,50.4250329,2.0,12898.125,778.3
73,50.5329219,2.0,12931.875,9858.2
74,50.532946200000005,1.0,12931.875,6545.5
75,50.6540936,2.0,12954.375,1525.3
76,50.654129100000006,1.0,12954.375,307.1
77,50.8867716,1.0,13078.125,45.8
78,50.9208633,2.0,13065.0,339.9
79,51.0067107,1.0,13117.5,143.3
80,51.0196342,1.0,13115.625,87.9
81,51.1456427,1.0,13175.625,77.4
82,51.1970984,2.0,13186.875,308.3
83,51.252725,2.0,13213.125,4804.6
84,51.4244392,1.0,13284.375,204.5
85,51.49612929999999,1.0,13299.375,411.8
86,51.4961657,2.0,13299.375,82.3
87,51.6045581,2.0,13348.125,127.8
88,51.6355605,2.0,13342.5,172.2
89,51.635594,1.0,13342.5,87.3
90,51.787660100000004,2.0,13378.125,413.4
91,51.7876885,1.0,13378.125,161.8
