,Time [s],Chan,Load [N],E [eu]
0,15.1410843,1.0,885.0,191.2
1,24.938331,1.0,2083.125,305.7
2,25.6178155,1.0,2165.625,229.5
3,28.872046700000002,1.0,2538.75,89.3
4,29.3928757,1.0,2596.875,1215.4
5,32.721255,1.0,2977.5,278.1
6,33.573504,1.0,3065.625,177.3
7,33.7225741,1.0,3084.375,66.3
8,34.2598955,1.0,3138.75,216.7
9,34.4092334,1.0,3159.375,289.0
10,34.571585600000006,1.0,3178.125,73.0
11,35.207279,1.0,3249.375,1943.5
12,36.451094700000006,1.0,3380.625,92.2
13,36.732489,1.0,3405.0,149.2
14,37.0959972,1.0,3450.0,1628.9
15,37.4554605,1.0,3485.625,334.8
16,37.5657383,1.0,3502.5,183.6
17,37.8033401,1.0,3530.625,252.5
18,37.8448374,1.0,3528.75,108.0
19,38.1104586,1.0,3560.625,97.6
20,38.625214,1.0,3615.0,314.0
21,39.40114129999999,1.0,3701.25,120.4
22,40.4208901,1.0,3808.125,369.8
23,41.0494728,1.0,3868.125,690.1
24,41.23903129999999,1.0,3890.625,86.7
25,41.4487475,1.0,3911.25,213.7
26,41.55326029999999,1.0,3918.75,273.1
27,41.5865667,1.0,3926.25,190.4
28,42.7623284,1.0,4050.0,547.6
29,43.2642598,1.0,4096.875,64.7
30,43.829195500000004,1.0,4155.0,99.4
31,44.191366,1.0,4194.375,207.5
32,44.2876795,1.0,4205.625,273.1
33,44.6148092,1.0,4239.375,122.2
34,45.138133,1.0,4288.125,2467.1
35,45.3761288,1.0,4312.5,65.0
36,45.6733586,1.0,4340.625,101.1
37,46.120858,1.0,4393.125,76.0
38,46.461128,1.0,4421.25,366.8
39,46.6026553,1.0,4436.25,161.1
40,46.709489899999994,1.0,4445.625,71.9
41,48.5381716,1.0,4625.625,122.4
42,49.4797412,1.0,4715.625,470.5
43,49.5017615,1.0,4721.25,404.6
44,49.5758864,1.0,4725.0,336.4
45,49.9365243,1.0,4760.625,183.0
46,49.9767445,1.0,4764.375,269.5
47,50.129113700000005,1.0,4779.375,188.8
48,51.2753456,1.0,4888.125,361.2
49,51.3465758,1.0,4899.375,9114.0
50,51.3487917,1.0,4899.375,2504.4
51,51.4250821,1.0,4905.0,134.2
52,52.0339774,1.0,4963.125,253.6
53,52.578037,1.0,5011.875,142.7
54,53.0091293,1.0,5056.875,228.3
55,53.2504223,1.0,5079.375,61.8
56,53.5429782,1.0,5107.5,64.2
57,53.585750600000004,1.0,5111.25,74.4
58,53.9114957,1.0,5143.125,396.7
59,54.4054338,1.0,5186.25,943.5
60,55.118533,1.0,5253.75,419.5
61,55.2491758,1.0,5265.0,1039.4
62,55.3481882,1.0,5276.25,688.7
63,55.59222239999999,1.0,5298.75,202.0
64,55.7395439,1.0,5310.0,112.9
65,56.1956497,1.0,5353.125,86.9
66,56.450853,1.0,5371.875,65.3
67,56.703912,1.0,5400.0,34.0
68,57.388944,1.0,5461.875,251.2
69,57.4301644,1.0,5465.625,343.8
70,57.4722419,1.0,5469.375,98.4
71,57.5517892,1.0,5475.0,137.1
72,58.4100007,1.0,5557.5,95.5
73,58.725852,1.0,5583.75,207.6
74,59.240825,1.0,5630.625,243.5
75,59.72244,1.0,5675.625,70.8
76,60.023790500000004,1.0,5698.125,265.5
77,60.9960884,1.0,5784.375,63.4
78,61.0136656,1.0,5784.375,425.2
79,61.099867,1.0,5790.0,91.4
80,61.22358739999999,1.0,5805.0,1702.5
81,61.669292500000005,1.0,5840.625,83.2
82,62.0291069,1.0,5878.125,121.8
83,62.10015799999999,1.0,5880.0,95.3
84,62.431556900000004,1.0,5908.125,2750.1
85,62.60857289999999,1.0,5923.125,67.0
86,63.1606296,1.0,5973.75,44.3
87,63.4797703,1.0,5998.125,169.9
88,63.8382887,1.0,6028.125,78.0
89,63.9864687,1.0,6043.125,701.6
90,63.9872331,1.0,6043.125,323.2
91,63.9931056,1.0,6043.125,107.0
92,64.0747812,1.0,6048.75,214.2
93,65.2567296,1.0,6148.125,599.6
94,65.32635789999999,1.0,6157.5,121.4
95,65.53762239999999,1.0,6170.625,192.9
96,65.59689420000001,1.0,6178.125,298.0
97,65.63594479999999,1.0,6174.375,113.4
98,66.0275991,1.0,6211.875,557.3
99,66.1218639,1.0,6219.375,125.3
100,66.20166510000001,1.0,6226.875,56.6
101,66.6271603,1.0,6260.625,297.2
102,66.7750046,1.0,6271.875,286.0
103,67.0789994,1.0,6296.25,592.7
104,67.6165195,1.0,6341.25,192.9
105,67.6516152,1.0,6341.25,1012.2
106,67.8401183,1.0,6358.125,190.5
107,67.9087433,1.0,6363.75,52.0
108,67.98899899999999,1.0,6369.375,164.0
109,68.0950598,1.0,6378.75,673.4
110,68.24974499999999,1.0,6388.125,137.7
111,68.4669238,1.0,6408.75,1847.3
112,68.6460993,1.0,6420.0,755.3
113,68.6717,1.0,6421.875,312.0
114,68.80357640000001,1.0,6436.875,300.0
115,69.6357749,1.0,6498.75,428.3
116,69.6981782,1.0,6506.25,864.6
117,69.7899178,1.0,6513.75,409.2
118,69.9814251,1.0,5829.375,276470543.1
119,69.9840665,1.0,5829.375,649535.3
120,69.9868008,1.0,5829.375,603.4
121,69.98709659999999,1.0,5829.375,195.3
122,69.98746340000001,1.0,5829.375,463.6
123,69.9878406,1.0,5829.375,263.0
124,69.9880731,1.0,5829.375,972.6
125,69.9884163,1.0,5829.375,1060.5
126,70.41535429999998,1.0,-5.625,164.0
127,79.12946749999998,1.0,1.875,74.9
128,80.0325579,1.0,1.875,148.1
