,Time [s],Chan,Load [N],E [eu]
0,1.3410467,1.0,-395.625,115.6
1,1.3716904,1.0,-395.625,199.6
2,1.3951083999999998,1.0,-390.0,520.9
3,1.6294635,1.0,-393.75,1946.2
4,2.1165654,1.0,-395.625,100.4
5,3.153616,1.0,-401.25,125.0
6,3.1611203,1.0,-403.125,360.5
7,3.4381242,1.0,-397.5,134.9
8,3.4687036,1.0,-399.375,80.4
9,6.2528076,1.0,-202.5,145.7
10,6.6743871,1.0,-140.625,140.2
11,6.9826465,1.0,-90.0,63.5
12,7.847937399999998,1.0,35.625,475.5
13,8.0277642,1.0,63.75,2636.4
14,8.090055399999999,1.0,60.0,32.3
15,9.6739421,1.0,290.625,92.1
16,10.480220800000001,1.0,405.0,283.1
17,11.1401281,1.0,498.75,102.9
18,11.488662800000002,1.0,538.125,1123.9
19,13.6264385,1.0,828.75,284.5
20,13.8116748,1.0,858.75,100.1
21,14.2243856,1.0,911.25,164.3
22,15.9472446,1.0,1134.375,135.6
23,16.0564998,1.0,1147.5,72.3
24,16.6384503,1.0,1226.25,209.5
25,16.6872543,1.0,1230.0,804.6
26,17.3331712,1.0,1314.375,111.6
27,17.7726598,1.0,1365.0,161.8
28,18.609961399999996,1.0,1470.0,41.0
29,19.4509387,1.0,1575.0,1638.1
30,19.7112453,1.0,1606.875,88.7
31,20.3207899,1.0,1683.75,77.4
32,20.410408899999997,1.0,1693.125,282.1
33,21.0308461,1.0,1770.0,337.4
34,22.1270258,1.0,1901.25,41.8
35,22.9221399,1.0,2000.625,257.4
36,23.1713073,1.0,2030.625,257.2
37,23.7417276,1.0,2098.125,57.3
38,23.7920017,1.0,2105.625,132.1
39,23.7969219,1.0,2105.625,241.3
40,24.041501899999997,1.0,2135.625,1088.4
41,24.9259955,1.0,2235.0,593.3
42,24.9912789,1.0,2248.125,214.9
43,25.1652768,1.0,2261.25,104.4
44,25.8032246,1.0,2340.0,522.6
45,26.0816997,1.0,2368.125,72.8
46,26.9827717,1.0,2478.75,261.9
47,27.757954499999997,1.0,2563.125,1441.3
48,28.0033032,1.0,2596.875,132.9
49,28.0646605,1.0,2598.75,854.1
50,28.1103747,1.0,2610.0,63.1
51,28.5027192,1.0,2651.25,102.7
52,28.8881985,1.0,2696.25,30.5
53,29.2542951,1.0,2735.625,90.6
54,29.544670299999996,1.0,2769.375,303.5
55,29.664051,1.0,2778.75,2304.5
56,30.2202892,1.0,2842.5,137.8
57,30.5117854,1.0,2878.125,249.2
58,30.5476947,1.0,2880.0,274.7
59,30.7404268,1.0,2896.875,51.5
60,30.7908405,1.0,2904.375,42.0
61,31.24105,1.0,2955.0,112.3
62,31.277076,1.0,2958.75,121.0
63,31.3335262,1.0,2966.25,74.3
64,31.6682598,1.0,3000.0,634.2
65,31.7151351,1.0,3007.5,76.1
66,31.7333679,1.0,3009.375,86.1
67,32.1698368,1.0,3050.625,101.8
68,32.4532832,1.0,3082.5,79.6
69,32.6693143,1.0,3108.75,214.5
70,32.6798599,1.0,3114.375,1092.1
71,32.76224439999999,1.0,3116.25,70.2
72,32.7754599,1.0,3120.0,253.7
73,32.7903112,1.0,3123.75,270.4
74,32.899065500000006,1.0,3131.25,65.6
75,32.9945677,1.0,3146.25,1878.4
76,33.0031311,1.0,3144.375,519.9
77,33.3669502,1.0,3181.875,601.0
78,33.396041499999995,1.0,3189.375,153.6
79,33.5840237,1.0,3204.375,217.8
80,33.67555479999999,1.0,3217.5,233.7
81,34.1206776,1.0,3264.375,728.2
82,34.1919304,1.0,3270.0,44.9
83,34.197002000000005,1.0,3270.0,1532.8
84,34.260758700000004,1.0,3275.625,399.4
85,34.3061893,1.0,3277.5,252.3
86,34.3175624,1.0,3285.0,48.6
87,34.422064299999995,1.0,3296.25,372.6
88,34.8140399,1.0,3341.25,49.4
89,34.887333500000004,1.0,3341.25,86.2
90,34.9668871,1.0,3352.5,100.8
91,34.9903875,1.0,3356.25,238.8
92,35.1864622,1.0,3376.875,262.4
93,35.252679,1.0,3382.5,103.4
94,35.4002744,1.0,3403.125,865.4
95,35.451955700000006,1.0,3406.875,220.5
96,35.61450569999999,1.0,3427.5,97.5
97,35.6319376,1.0,3425.625,227.7
98,35.65452379999999,1.0,3427.5,11482.3
99,35.6959417,1.0,3431.25,23471.2
100,35.7192826,1.0,3433.125,111.1
101,35.7487235,1.0,3436.875,95.4
102,35.7668294,1.0,3438.75,74.5
103,35.79378679999999,1.0,3446.25,2014.7
104,35.8225134,1.0,3444.375,69.2
105,35.992211100000006,1.0,3461.25,119.1
106,36.0615593,1.0,3468.75,57.1
107,36.06664489999999,1.0,3468.75,354.5
108,36.0685809,1.0,3468.75,235.5
109,36.0939983,1.0,3476.25,896.3
110,36.1026177,1.0,3476.25,46.1
111,36.1700739,1.0,3478.125,1065.4
112,36.2057683,1.0,3487.5,420.7
113,36.4069456,1.0,3508.125,597.6
114,36.445029299999995,1.0,3504.375,73.3
115,36.4505396,1.0,3506.25,158.6
116,36.743289399999995,1.0,3543.75,239.5
117,36.793758200000006,1.0,3549.375,325.2
118,36.8016171,1.0,3553.125,383.4
119,36.8340302,1.0,3545.625,54.0
120,36.8474881,1.0,3541.875,1138.0
121,36.9542846,1.0,3566.25,242.3
122,36.9875721,1.0,3560.625,294.2
123,37.015025200000004,1.0,3568.125,766.9
124,37.0573768,1.0,3571.875,38.6
125,37.1262513,1.0,3575.625,326.4
126,37.1718924,1.0,3583.125,374.9
127,37.2017381,1.0,3592.5,82.7
128,37.2448628,1.0,3592.5,103.7
129,37.3073553,1.0,3600.0,102.4
130,37.3239626,1.0,3603.75,1877.2
131,37.37935220000001,1.0,3605.625,315.0
132,37.4504744,1.0,3611.25,164.2
133,37.47124779999999,1.0,3618.75,324.5
134,37.4867533,1.0,3618.75,229.4
135,37.5507161,1.0,3620.625,324.1
136,37.5561063,1.0,3620.625,235.2
137,37.5950253,1.0,3630.0,135.4
138,37.6125919,1.0,3635.625,364.6
139,37.6163516,1.0,3635.625,117.2
140,37.6875521,1.0,3637.5,85.7
141,37.7369502,1.0,3645.0,893.2
142,37.7503773,1.0,3646.875,96.0
143,37.7508199,1.0,3646.875,201.9
144,37.758118700000004,1.0,3646.875,3767.9
145,37.7620093,1.0,3645.0,775.4
146,37.9444218,1.0,3667.5,529.0
147,38.0088468,1.0,3669.375,60.1
148,38.0228497,1.0,3676.875,635.3
149,38.086966,1.0,3680.625,103.5
150,38.0955747,1.0,3682.5,46.1
151,38.1922124,1.0,3693.75,471.8
152,38.3034898,1.0,3703.125,266.6
153,38.3684429,1.0,3705.0,108.9
154,38.436564700000005,1.0,3718.125,1673.4
155,38.449988299999994,1.0,3718.125,1189.6
156,38.464735600000004,1.0,3718.125,318.5
157,38.5393844,1.0,3725.625,427.3
158,38.5868749,1.0,3731.25,70.9
159,38.6577828,1.0,3742.5,2501.1
160,38.6946394,1.0,3740.625,2167.9
161,38.724172700000004,1.0,3746.25,1033.0
162,38.7305765,1.0,3750.0,217.3
163,38.733624400000004,1.0,3750.0,71.2
164,38.8053561,1.0,3755.625,104.3
165,38.9073696,1.0,3765.0,529.2
166,39.0865094,1.0,3778.125,513.3
167,39.1053647,1.0,3781.875,91.4
168,39.1084833,1.0,3781.875,186.4
169,39.1291579,1.0,3780.0,403.2
170,39.2666963,1.0,3793.125,9985.9
171,39.365394,1.0,3810.0,117.7
172,39.4035648,1.0,3810.0,120.4
173,39.4054008,1.0,3810.0,138.0
174,39.48736629999999,1.0,3819.375,11419.0
175,39.6167766,1.0,3838.125,579.2
176,39.651413899999994,1.0,3836.25,1505.9
177,39.695544500000004,1.0,3838.125,277.2
178,39.7773003,1.0,3851.25,221.9
179,39.827000299999995,1.0,3853.125,140.8
180,39.8570533,1.0,3853.125,942.1
181,39.8604883,1.0,3853.125,79.9
182,39.8970975,1.0,3862.5,505.8
183,39.944966,1.0,3864.375,5261.7
184,40.1335852,1.0,3885.0,322.3
185,40.154022,1.0,3886.875,108.6
186,40.2173829,1.0,3892.5,156.4
187,40.2351696,1.0,3898.125,60.9
188,40.3344249,1.0,3909.375,98.5
189,40.3446615,1.0,3907.5,117.2
