,Time [s],Load [N],Displacement [mm]
0,0.0078125,-360.27204525496484,0.0017380714000000002
1,0.012695313,-358.4441864833144,0.00047206879
2,0.017578125,-358.3299872901776,-0.00017881393
3,0.022460938,-362.1881433984944,-4.291534399999999e-05
4,0.02734375,-357.22027610296084,0.0004255771599999999
5,0.032226563,-363.13482281584965,-0.00041842461000000003
6,0.037109375,-356.4111445939208,0.0010800362
7,0.041992188,-360.7505626935848,0.00052213669
8,0.046875,-350.00389506372966,-0.00043630599999999997
9,0.051757813,-351.9048559091544,-1.7881393000000002e-05
10,0.056640625,-350.0199442472624,0.00022888183999999998
11,0.061523438,-337.301015227956,0.0007867813099999999
12,0.06640625,-346.9002640960912,-0.00026464462000000004
13,0.071289063,-337.686542594028,-8.9406967e-05
14,0.076171875,-343.149759398716,0.0032794476
15,0.081054688,-329.38790479129517,0.0027036666999999998
16,0.0859375,-334.5316681135576,0.0019669532999999997
17,0.09082031300000001,-336.95923612132003,0.0023531914000000003
18,0.095703125,-343.87228403320404,0.0034439564000000003
19,0.10058594,-341.56794510842644,0.0031220913
20,0.10546875,-330.2823531906232,0.0021135807
21,0.11035156,-343.2079287925792,0.0013303757
22,0.11523438,-342.37222360770085,0.0030863285
23,0.12011719,-340.8302520382824,0.0029683113
24,0.125,-334.9795061678024,0.0029754639
25,0.12988281,-330.00562932488725,0.004273653
26,0.13476563,-339.7291570563048,0.0044989586
27,0.13964844,-334.10266827778884,0.0032758713
28,0.14453125,-320.4932942585944,0.0033330916999999996
29,0.14941406,-328.23665166255597,0.0046992302000000005
30,0.15429688,-338.9597659590392,0.0039696693
31,0.15917969,-332.6530729263376,0.0044560432
32,0.1640625,-324.5992252064744,0.0045883656
33,0.16894531,-327.0581798658464,0.0048243999
34,0.17382813,-338.1358708025088,0.0045597553
35,0.17871094,-324.48794404670724,0.0051677227
36,0.18359375,-321.65761181417275,0.0055468081999999995
37,0.18847656,-331.8639673109408,0.0062656403
38,0.19335938,-332.78091481512166,0.0067090988
39,0.19824219,-320.41303054804405,0.0049459934
40,0.203125,-321.8067339950912,0.0049710273999999995
41,0.20800781,-333.18178409749197,0.0065016747
42,0.21289063,-321.8767134173024,0.0061333179
43,0.21777344,-320.519765625336,0.0058364868
44,0.22265625,-321.64356433036005,0.00685215
45,0.22753906,-325.3330171862752,0.007109641999999999
46,0.23242188,-314.48032619458405,0.0083076954
47,0.23730469,-318.8069200713752,0.007935762399999999
48,0.2421875,-320.21623232801676,0.0082826614
49,0.24707031,-323.0538240582024,0.0072920322
50,0.25195313,-315.9607032395072,0.0080752373
51,0.25683594,-320.2069310966512,0.0079643726
52,0.26171875,-310.69388431490245,0.0095021725
53,0.26660156,-313.6635259515057,0.0072169304
54,0.27148438,-318.4391055237144,0.0074636936
55,0.27636719,-315.15259037321357,0.0093519688
56,0.28125,-315.77021259770885,0.0085580349
57,0.28613281,-312.01244395446076,0.0082790852
58,0.29101563,-316.1354471768416,0.0075531006
59,0.29589844,-314.96454625329517,0.0088906288
60,0.30078125,-310.3306870212624,0.010210275999999999
61,0.30566406,-317.0226360785184,0.008683204699999999
62,0.31054688,-307.2644922866096,0.0091981888
63,0.31542969,-309.870700873828,0.010117292
64,0.3203125,-317.9306604501696,0.009387731600000001
65,0.32519531,-311.80040612723195,0.0080859661
66,0.33007813,-300.04040692756723,0.010027885
67,0.33496094,-319.96926706478484,0.0095200539
68,0.33984375,-302.484873729188,0.011140108000000001
69,0.34472656,-295.7416455733273,0.010246038
70,0.34960938,-306.41083407935355,0.011726618000000001
71,0.35449219,-312.4273295830928,0.011923313
72,0.359375,-305.29715063024804,0.011826753999999998
73,0.36425781,-298.90130189201756,0.010567904
74,0.36914063,-305.63126100284563,0.011311769
75,0.37402344,-310.69388431490245,0.011966228
76,0.37890625,-299.5915858163488,0.010896921
77,0.38378906,-297.6638511251136,0.01136899
78,0.38867188,-306.82317087700886,0.01100421
79,0.39355469,-301.0721318936928,0.013160706000000001
80,0.3984375,-292.9171182699808,0.012499093999999999
81,0.40332031,-302.8979222422992,0.011286736
82,0.40820313,-303.7540225232136,0.012524128
83,0.41308594,-291.93724622304643,0.013768673
84,0.41796875,-292.8390252915712,0.013604163999999998
85,0.42285156,-304.6713125404576,0.012717247
86,0.42773438,-288.51220010725683,0.011776686000000001
87,0.43261719,-293.6236559960384,0.013439655
88,0.4375,-295.07830897544886,0.014616251
89,0.44238281,-292.0928138770632,0.01306057
90,0.44726563,-294.7410715030664,0.014269351999999999
91,0.45214844,-297.7493059102712,0.012913942
92,0.45703125,-284.7554812443064,0.012234449
93,0.46191406,-295.5770168919112,0.013003348999999999
94,0.46679688,-289.08981057846,0.015585423000000001
95,0.47167969,-294.8815063072,0.014659166000000001
96,0.4765625,-287.0713588559144,0.015925169
97,0.48144531,-285.29162094553277,0.014898777
98,0.48632813,-290.9570361112704,0.01459837
99,0.49121094,-291.95421618845035,0.013246536000000001
100,0.49609375,-290.26081381110316,0.015031099
101,0.50097656,-293.60458202181763,0.014491081000000001
102,0.50585938,-287.60098191249676,0.015674828999999998
103,0.51074219,-287.75135849190644,0.015342236
104,0.515625,-285.6771483116048,0.015546083
105,0.52050781,-287.67096133470807,0.015159845
106,0.52539063,-285.86224326060244,0.016797781
107,0.53027344,-287.5872057702016,0.015392303000000001
108,0.53515625,-273.5612157641728,0.015964508
109,0.54003906,-281.8090860137848,0.015953778999999998
110,0.54492188,-279.3948938083736,0.01729846
111,0.54980469,-284.90792624676004,0.016669035
112,0.5546875,-276.7483309548,0.018006563
113,0.55957031,-278.89949092056,0.01631856
114,0.56445313,-273.762973751284,0.018875599
115,0.56933594,-295.8366684831464,0.017462969
116,0.57421875,-278.9016661009224,0.016872883
117,0.57910156,-268.2668534514208,0.01625061
118,0.58398438,-282.8513310239944,0.017062426000000002
119,0.58886719,-285.50281361065765,0.017559528
120,0.59375,-272.53308940932163,0.018360615
121,0.59863281,-263.0314567641984,0.018625258999999998
122,0.60351563,-283.82828503755917,0.018464327
123,0.60839844,-277.9872096008376,0.017466545
124,0.61328125,-265.1529248507784,0.017949343
125,0.61816406,-270.9240030724024,0.019168854
126,0.62304688,-274.9958295052752,0.020366907
127,0.62792969,-268.43291001197036,0.02030611
128,0.6328125,-264.9243440874192,0.020853281
129,0.63769531,-271.96996679586965,0.021160841
130,0.64257813,-272.89100666392244,0.019934177
131,0.64746094,-268.4814579025128,0.019505024
132,0.65234375,-269.0540819173024,0.02076745
133,0.65722656,-272.52495806023677,0.020685196
134,0.66210938,-261.1285475977128,0.020191669
135,0.66699219,-272.69619235072884,0.01981616
136,0.671875,-275.6497803555776,0.020116568
137,0.67675781,-261.1494675838976,0.019994974
138,0.68164063,-260.4763226573912,0.021561384
139,0.68652344,-260.074016599444,0.021067858
140,0.69140625,-275.6946984972944,0.02120018
141,0.69628906,-259.0903947017008,0.020813942
142,0.70117188,-257.0459297792384,0.020177364
143,0.70605469,-261.69517985800724,0.02209425
144,0.7109375,-277.98822824358405,0.022176504
145,0.71582031,-263.989319010656,0.020256042
146,0.72070313,-253.7978828491344,0.02107501
147,0.72558594,-262.5351775767296,0.021432637999999997
148,0.73046875,-263.9081434146776,0.022426843999999998
149,0.73535156,-245.81693258485197,0.022609234
150,0.74023438,-258.64631094648644,0.022087097000000003
151,0.74511719,-257.04226444464,0.023846626
152,0.75,-249.3787303772904,0.023667812000000003
153,0.75488281,-252.0307556469888,0.023052692000000003
154,0.75976563,-257.3420167535992,0.023699999
155,0.76464844,-254.31018453080642,0.023392438999999998
156,0.76953125,-238.02926644553278,0.025159121
157,0.77441406,-253.9333445415192,0.0251019
158,0.77929688,-257.08881063546244,0.024465322
159,0.78417969,-249.43813637675842,0.025806427000000003
160,0.7890625,-249.74981436782724,0.02540946
161,0.79394531,-253.06117283596402,0.024232864
162,0.79882813,-253.1125542436656,0.024590492000000002
