,Time [s],Load [N],Displacement [mm]
0,0.0068359375,-395.88551268264644,0.0018060207
1,0.01171875,-390.07515221607275,0.0008940696699999999
2,0.016601563,-396.3779085726584,0.0008010864299999999
3,0.021484375,-399.8296618109344,0.0013446807999999998
4,0.026367188,-391.60595874927515,0.0013804435999999998
5,0.03125,-393.83295199687194,0.0010049343
6,0.036132813,-397.879254534204,-0.0014448166
7,0.041015625,-390.908579911492,0.00043630599999999997
8,0.045898438,-395.4571889765608,-0.0010621547999999999
9,0.05078125,-393.84754661194165,-0.00021457672
10,0.055664063,-374.462904146376,1.7881393000000002e-05
11,0.060546875,-391.48290314693276,0.0008189678200000001
12,0.065429688,-380.71746847014725,0.0010406971
13,0.0703125,-374.735179790512,0.0012731552
14,0.075195313,-377.37977208191677,0.0023818016
15,0.080078125,-375.134385438004,0.0011086464
16,0.08496093800000001,-368.51858993454005,0.0014948845
17,0.08984375,-371.0047321243312,0.0013840198999999999
18,0.09472656300000001,-371.745819187556,0.0026893615999999997
19,0.099609375,-367.9684027495008,0.0021958351
20,0.10449219,-366.5873945269,0.0023245810999999996
21,0.109375,-366.6739658156792,0.0038051605
22,0.11425781,-368.82436513554563,0.0035512446999999996
23,0.11914063,-365.6649801583728,0.0042951107
24,0.12402344,-364.7556969400088,0.0039947033
25,0.12890625,-363.4439208383904,0.0048208237
26,0.13378906,-367.2558198902888,0.0020492076999999997
27,0.13867188,-357.79663217567276,0.0047099590000000005
28,0.14355469,-362.5300604,0.0046169758
29,0.1484375,-359.0755892983264,0.0052320957
30,0.15332031,-362.93852724486317,0.004645586
31,0.15820313,-359.7966193303568,0.005300045
32,0.16308594,-362.9014691107136,0.005146265
33,0.16796875,-359.56323448766966,0.0044202805
34,0.17285156,-356.5387818645112,0.0063800812
35,0.17773438,-371.57236523448563,0.00467062
36,0.18261719,-358.42806612823597,0.005146265
37,0.1875,-357.5496001891168,0.0048673153
38,0.19238281,-360.3480653621088,0.0055718422
39,0.19726563,-358.1616576883904,0.0051891804
40,0.20214844,-365.23967679475356,0.0063693523
41,0.20703125,-354.7510682928008,0.0056397915000000005
42,0.21191406,-362.728829182196,0.0058543682
43,0.21679688,-364.81580131026806,0.005210638
44,0.22167969,-357.1852508060824,0.006029605899999999
45,0.2265625,-363.461873860768,0.0073707104
46,0.23144531,-350.83827467857117,0.005521774300000001
47,0.23632813,-358.63131871780485,0.0067090988
48,0.24121094,-355.42173555987597,0.0068700314000000005
49,0.24609375,-351.33844161171845,0.0063335896
50,0.25097656,-340.5954393164616,0.0072741507999999995
51,0.25585938,-344.87651898984166,0.0071489811
52,0.26074219,-341.16694237940806,0.008507967
